
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-7.77%	5.62%	1.56%	-11.04%	65.31%	-3.34%	1.75	54.28M	2.33	-2.87%	48.81M
2	Aerospace & Defense	-0.48%	0.45%	15.40%	22.87%	35.28%	31.21%	1.82	189.53M	1.30	-0.22%	95.08M
3	Agricultural Inputs	0.79%	-5.20%	0.60%	11.34%	20.94%	17.56%	2.05	18.47M	0.64	-1.18%	4.54M
4	Airlines	6.59%	5.13%	17.08%	1.09%	61.26%	5.95%	1.69	130.29M	0.93	-1.15%	46.62M
5	Airports & Air Services	0.72%	3.82%	26.23%	40.67%	74.58%	48.97%	2.73	38.33M	0.83	-1.47%	12.34M
6	Aluminum	2.53%	6.04%	9.42%	-3.41%	5.44%	-5.41%	1.87	9.22M	0.64	-2.75%	2.28M
7	Apparel Manufacturing	4.44%	3.57%	-0.35%	-12.42%	4.09%	-11.54%	2.08	45.43M	1.78	-1.41%	31.18M
8	Apparel Retail	1.38%	8.17%	-2.77%	-2.73%	7.66%	-4.66%	1.89	57.74M	0.83	-1.09%	18.50M
9	Asset Management	2.60%	2.35%	9.97%	6.33%	32.83%	5.17%	2.03	131.34M	0.86	-0.56%	43.72M
10	Auto & Truck Dealerships	0.98%	-1.70%	4.96%	1.60%	39.35%	16.14%	1.99	21.23M	0.50	-1.60%	4.11M
11	Auto Manufacturers	3.40%	3.71%	-2.77%	0.57%	41.72%	-11.79%	2.38	486.44M	0.82	-1.60%	154.12M
12	Auto Parts	1.67%	7.52%	11.52%	14.37%	21.56%	17.02%	1.81	144.60M	1.18	-0.98%	66.04M
13	Banks - Diversified	3.46%	5.30%	12.89%	14.67%	46.07%	26.25%	1.99	126.29M	0.68	0.77%	32.95M
14	Banks - Regional	2.93%	2.11%	6.57%	9.80%	24.96%	14.68%	1.86	365.84M	0.77	-0.38%	108.34M
15	Beverages - Brewers	-2.07%	-8.41%	-10.49%	10.89%	-8.01%	6.63%	1.83	38.10M	0.56	-1.14%	8.28M
16	Beverages - Non-Alcoholic	1.25%	3.99%	5.95%	5.91%	1.14%	8.37%	1.96	59.89M	0.47	-0.66%	10.92M
17	Beverages - Wineries & Distilleries	0.63%	6.95%	-4.27%	2.49%	-16.87%	-14.62%	2.43	12.39M	0.74	-0.95%	3.53M
18	Biotechnology	6.65%	3.44%	0.28%	-11.45%	-8.13%	-9.70%	1.50	675.73M	0.88	-0.46%	228.40M
19	Broadcasting	16.24%	10.75%	7.37%	-18.93%	-5.53%	-13.88%	1.81	23.31M	0.98	-0.91%	8.84M
20	Building Materials	5.09%	13.78%	10.11%	6.28%	20.67%	12.20%	1.81	30.03M	0.67	-0.83%	7.74M
21	Building Products & Equipment	2.02%	0.39%	3.89%	7.93%	16.55%	9.00%	2.22	34.37M	0.68	-1.27%	9.05M
22	Business Equipment & Supplies	3.47%	-0.54%	-5.18%	-17.61%	-16.82%	-20.22%	1.00	1.06M	0.69	-1.57%	285.06K
23	Capital Markets	2.46%	2.77%	20.13%	17.35%	65.02%	31.07%	2.10	478.35M	2.15	0.11%	397.20M
24	Chemicals	3.44%	-13.83%	-15.79%	-33.84%	-51.69%	-37.44%	2.49	35.31M	0.89	-0.19%	12.16M
25	Coking Coal	10.95%	23.62%	36.88%	12.79%	-7.14%	5.31%	1.83	7.00M	1.25	-3.34%	3.39M
26	Communication Equipment	0.01%	3.48%	11.35%	7.46%	42.16%	11.21%	2.09	154.17M	1.53	-2.53%	91.34M
27	Computer Hardware	0.78%	12.57%	27.48%	19.55%	42.55%	23.07%	1.69	275.62M	0.86	-1.00%	91.51M
28	Confectioners	-2.14%	-4.74%	0.25%	4.57%	-10.33%	3.95%	2.21	9.48M	0.50	-0.93%	1.81M
29	Conglomerates	1.93%	-3.69%	3.71%	6.08%	16.07%	4.95%	2.07	15.66M	0.91	-0.95%	5.49M
30	Consulting Services	1.77%	-4.05%	-7.51%	-5.54%	-9.70%	-4.13%	2.19	8.61M	30.03	-0.37%	99.83M
31	Consumer Electronics	5.22%	10.36%	9.11%	-1.27%	8.11%	-6.30%	1.98	76.42M	0.99	-0.86%	29.13M
32	Copper	1.16%	-1.88%	6.40%	7.58%	1.11%	10.19%	2.59	36.10M	0.73	-2.42%	10.18M
33	Credit Services	3.21%	0.03%	0.68%	0.96%	32.36%	8.25%	1.81	145.49M	0.90	-0.22%	50.37M
34	Department Stores	11.76%	18.10%	28.42%	0.87%	4.11%	-0.21%	3.67	20.07M	0.71	2.01%	5.51M
35	Diagnostics & Research	5.57%	11.55%	14.95%	-1.79%	-12.37%	-3.23%	1.74	55.27M	0.62	-0.71%	13.14M
36	Discount Stores	-1.18%	4.99%	3.51%	-3.36%	28.96%	9.76%	1.69	35.18M	0.57	0.09%	7.73M
37	Drug Manufacturers - General	3.85%	-2.31%	6.81%	-6.36%	-13.53%	-0.58%	1.99	133.07M	0.89	0.53%	45.63M
