
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-2.26%	5.96%	4.98%	-13.95%	63.99%	-2.09%	1.76	54.91M	0.95	1.30%	29.14M
2	Aerospace & Defense	-0.36%	-0.39%	12.40%	23.53%	33.63%	30.69%	1.83	189.62M	0.79	-0.16%	82.99M
3	Agricultural Inputs	2.27%	-4.05%	0.40%	11.34%	20.55%	18.75%	2.04	18.41M	0.47	0.31%	4.78M
4	Airlines	8.40%	6.15%	20.14%	4.86%	62.52%	7.84%	1.69	130.31M	0.81	1.53%	58.81M
5	Airports & Air Services	2.81%	1.40%	26.13%	41.46%	71.18%	49.91%	2.73	38.73M	1.21	0.57%	26.08M
6	Aluminum	3.69%	5.16%	14.45%	-2.86%	5.63%	-3.81%	1.86	9.19M	0.53	0.14%	2.72M
7	Apparel Manufacturing	6.38%	2.80%	0.60%	-12.84%	2.78%	-10.50%	2.07	46.27M	1.70	0.99%	43.74M
8	Apparel Retail	1.48%	6.15%	-4.92%	-3.92%	6.69%	-5.21%	1.89	56.51M	0.63	-0.15%	19.73M
9	Asset Management	0.78%	-1.16%	9.04%	4.27%	29.04%	4.13%	2.03	131.08M	0.65	-1.14%	47.07M
10	Auto & Truck Dealerships	2.69%	1.48%	6.28%	0.24%	34.30%	16.47%	2.00	21.22M	0.50	0.49%	5.90M
11	Auto Manufacturers	1.13%	3.69%	-1.56%	-3.50%	36.39%	-11.82%	2.38	486.48M	0.82	-0.79%	222.35M
12	Auto Parts	1.78%	6.65%	9.87%	12.63%	19.96%	16.72%	1.82	144.85M	0.73	-0.21%	58.86M
13	Banks - Diversified	1.91%	3.83%	11.95%	13.91%	43.80%	25.86%	2.00	125.80M	0.68	-0.66%	47.81M
14	Banks - Regional	2.59%	1.27%	6.41%	9.77%	24.17%	15.05%	1.86	367.54M	1.10	-0.10%	224.67M
15	Beverages - Brewers	-1.14%	-7.77%	-10.79%	9.98%	-8.04%	7.77%	1.82	38.07M	0.60	0.82%	12.75M
16	Beverages - Non-Alcoholic	0.91%	1.42%	3.81%	5.45%	1.07%	9.08%	1.96	59.75M	0.54	0.82%	17.93M
17	Beverages - Wineries & Distilleries	1.00%	6.84%	-5.45%	0.44%	-18.29%	-14.09%	2.43	12.52M	0.94	0.19%	6.57M
18	Biotechnology	5.96%	4.80%	-0.98%	-13.41%	-8.15%	-8.22%	1.51	694.04M	1.19	0.97%	459.43M
19	Broadcasting	15.89%	9.43%	7.91%	-19.72%	-7.33%	-13.68%	1.81	23.31M	0.86	-1.10%	11.21M
20	Building Materials	2.22%	11.77%	8.15%	3.25%	18.11%	11.02%	1.81	30.08M	0.49	-0.49%	8.28M
21	Building Products & Equipment	0.85%	-2.84%	2.48%	6.37%	12.67%	7.79%	2.22	34.48M	0.60	-0.62%	11.49M
22	Business Equipment & Supplies	2.59%	-2.15%	-6.19%	-19.49%	-18.31%	-20.70%	1.00	1.06M	0.40	-0.79%	237.69K
23	Capital Markets	0.64%	1.15%	19.02%	15.66%	61.66%	30.35%	2.10	481.43M	1.20	-0.98%	320.91M
24	Chemicals	5.70%	-14.39%	-13.83%	-32.91%	-51.86%	-36.74%	2.50	35.58M	0.74	-0.05%	14.59M
25	Coking Coal	0.88%	12.14%	32.80%	5.83%	-11.59%	1.48%	1.84	7.13M	1.35	-4.74%	5.35M
26	Communication Equipment	-4.35%	-0.90%	5.44%	3.79%	36.75%	8.47%	2.15	153.88M	0.96	-2.60%	82.13M
27	Computer Hardware	-0.43%	9.74%	28.20%	17.91%	37.56%	22.36%	1.70	274.07M	0.80	-0.62%	121.89M
28	Confectioners	-0.85%	-7.91%	-1.72%	3.62%	-11.26%	4.15%	2.22	9.47M	0.54	0.14%	2.83M
29	Conglomerates	0.11%	-5.98%	0.47%	4.28%	13.56%	3.27%	2.07	17.09M	0.81	-1.24%	7.75M
30	Consulting Services	1.58%	-5.43%	-9.85%	-5.50%	-11.27%	-4.58%	2.17	6.97M	0.63	0.01%	2.45M
31	Consumer Electronics	1.01%	10.41%	9.62%	-3.23%	6.24%	-6.24%	2.00	76.21M	0.76	-0.52%	32.08M
32	Copper	-0.80%	-1.53%	8.54%	3.57%	1.27%	10.88%	2.58	36.04M	0.44	-0.22%	8.92M
33	Credit Services	2.12%	-0.10%	0.00%	0.49%	31.64%	8.49%	1.82	145.22M	0.67	-0.66%	53.85M
34	Department Stores	10.49%	13.88%	23.21%	-1.55%	1.34%	-1.21%	3.67	20.09M	0.58	1.05%	6.50M
35	Diagnostics & Research	5.24%	11.56%	15.18%	-0.72%	-12.53%	-2.24%	1.74	55.05M	0.51	0.53%	15.61M
36	Discount Stores	-2.94%	3.43%	1.56%	-5.82%	27.67%	8.27%	1.69	34.67M	0.74	-0.98%	14.35M
37	Drug Manufacturers - General	5.25%	1.08%	5.91%	-4.65%	-13.35%	1.19%	2.00	132.33M	0.78	1.24%	57.77M
38	Drug Manufacturers - Specialty & Generic	4.61%	2.92%	2.59%	2.09%	-4.10%	-0.37%	1.83	172.60M	1.22	0.55%	117.25M
39	Education & Training Services	2.25%	4.08%	-0.90%	-2.66%	13.43%	6.40%	1.83	36.45M	0.56	0.69%	11.42M
40	Electrical Equipment & Parts	0.82%	6.50%	26.19%	17.88%	44.92%	15.67%	1.87	175.16M	1.76	-0.67%	171.99M
41	Electronic Components	-1.02%	8.23%	28.07%	35.62%	59.90%	43.62%	1.82	44.51M	0.98	-1.07%	24.37M
42	Electronic Gaming & Multimedia	-1.05%	-0.16%	15.56%	33.69%	63.31%	45.16%	1.83	20.38M	1.49	-2.65%	16.96M
43	Electronics & Computer Distribution	1.81%	-1.72%	6.67%	0.85%	1.61%	7.14%	2.36	2.57M	0.48	-2.25%	686.32K
44	Engineering & Construction	-0.75%	3.42%	17.73%	30.27%	40.16%	25.28%	1.74	28.91M	0.62	-0.47%	9.99M
45	Entertainment	3.87%	-2.29%	6.46%	12.50%	63.08%	24.30%	1.86	158.56M	0.79	0.59%	69.37M
46	Farm & Heavy Construction Machinery	-1.60%	-0.56%	5.11%	7.53%	23.31%	10.29%	2.29	32.82M	0.52	-0.22%	9.42M
47	Farm Products	1.02%	9.02%	8.74%	10.51%	-22.02%	-5.13%	2.46	16.96M	0.48	0.39%	4.52M
48	Financial Conglomerates	2.07%	10.65%	17.02%	16.44%	22.85%	21.99%	1.91	3.28M	1.04	0.51%	1.89M
49	Financial Data & Stock Exchanges	-0.64%	-1.53%	6.07%	3.68%	19.19%	12.39%	2.03	32.96M	0.52	-0.77%	9.46M
50	Food Distribution	-0.94%	-1.11%	7.26%	8.54%	17.68%	8.06%	1.81	10.29M	0.60	-1.17%	3.41M
51	Footwear & Accessories	3.04%	1.29%	5.16%	-5.77%	-8.49%	-12.04%	2.19	38.97M	0.86	0.73%	18.68M
52	Furnishings, Fixtures & Appliances	4.89%	6.25%	15.91%	2.59%	13.34%	11.59%	1.80	20.14M	0.78	-0.55%	8.79M
53	Gambling	4.76%	-3.68%	21.85%	3.22%	36.30%	14.86%	1.37	53.88M	1.80	1.52%	53.99M
54	Gold	-0.34%	14.54%	28.12%	38.27%	56.92%	74.72%	1.83	221.66M	0.82	0.71%	101.33M
55	Grocery Stores	-4.72%	-5.69%	-2.47%	-3.87%	23.53%	8.33%	2.11	26.84M	0.40	0.43%	5.94M
56	Health Information Services	2.78%	3.42%	8.69%	-3.70%	32.11%	20.69%	1.81	58.17M	1.13	1.58%	36.48M
57	Healthcare Plans	13.73%	5.92%	0.59%	-28.59%	-35.74%	-22.93%	1.89	86.12M	1.90	8.00%	91.14M
58	Home Improvement Retail	2.77%	11.44%	5.59%	-3.24%	10.63%	1.52%	1.95	8.70M	0.77	-0.86%	3.72M
59	Household & Personal Products	0.43%	-0.19%	-3.35%	-4.33%	-6.05%	-3.69%	2.12	117.40M	0.67	0.28%	44.06M
60	Industrial Distribution	2.50%	2.14%	9.38%	10.10%	15.99%	13.18%	2.45	16.04M	0.61	-0.29%	5.40M
