
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-7.38%	1.97%	0.56%	-19.61%	53.08%	-5.80%	1.74	56.11M	1.15	-4.40%	64.53M
2	Aerospace & Defense	-2.32%	-0.96%	9.45%	22.18%	29.84%	29.08%	1.83	185.81M	0.77	-1.43%	142.20M
3	Agricultural Inputs	2.33%	-4.26%	-0.40%	8.88%	19.49%	18.82%	2.03	18.53M	0.73	0.02%	13.57M
4	Airlines	2.62%	6.40%	17.73%	4.06%	60.22%	8.39%	1.69	131.14M	0.81	-0.10%	105.78M
5	Airports & Air Services	-5.53%	0.49%	21.39%	34.31%	59.87%	44.76%	2.70	39.82M	0.84	-2.57%	33.34M
6	Aluminum	-3.17%	-3.61%	8.50%	-7.35%	0.62%	-7.28%	1.86	9.19M	0.73	0.77%	6.73M
7	Apparel Manufacturing	3.70%	2.73%	0.03%	-14.92%	1.67%	-10.81%	2.06	47.71M	1.19	-0.20%	56.63M
8	Apparel Retail	0.43%	5.03%	-5.61%	-1.53%	4.95%	-4.46%	1.89	56.99M	0.91	0.47%	51.92M
9	Asset Management	-2.96%	-0.86%	7.15%	0.64%	23.61%	2.47%	2.03	132.00M	0.89	-1.02%	117.16M
10	Auto & Truck Dealerships	1.18%	2.04%	5.24%	-0.39%	30.72%	16.55%	1.99	20.78M	0.77	-1.04%	15.91M
11	Auto Manufacturers	-1.13%	2.38%	-1.22%	-3.25%	32.44%	-11.42%	2.37	485.30M	0.81	-0.81%	392.69M
12	Auto Parts	1.69%	7.35%	9.71%	14.18%	20.19%	18.06%	1.82	145.42M	0.77	0.87%	111.85M
13	Banks - Diversified	-0.21%	2.95%	10.83%	11.07%	39.81%	25.29%	2.00	125.39M	0.76	-0.45%	94.73M
14	Banks - Regional	0.08%	0.24%	5.31%	7.92%	20.63%	14.25%	1.85	371.48M	0.91	-0.78%	338.59M
15	Beverages - Brewers	-0.27%	-7.45%	-12.01%	8.89%	-9.11%	7.95%	1.82	38.35M	0.98	0.38%	37.67M
16	Beverages - Non-Alcoholic	0.83%	2.98%	3.87%	5.85%	1.06%	9.61%	1.96	60.00M	0.82	1.24%	48.96M
17	Beverages - Wineries & Distilleries	1.99%	10.79%	-2.78%	4.39%	-17.78%	-12.06%	2.43	12.77M	0.96	2.47%	12.29M
18	Biotechnology	2.77%	4.17%	-5.68%	-21.83%	-10.47%	-9.75%	1.51	703.02M	0.82	-1.24%	577.21M
19	Broadcasting	1.94%	11.97%	5.17%	-21.14%	-8.85%	-13.86%	1.96	23.61M	2.22	-0.17%	52.50M
20	Building Materials	0.03%	11.23%	6.57%	1.46%	15.01%	11.02%	1.80	30.31M	1.13	0.59%	34.12M
21	Building Products & Equipment	0.17%	-0.33%	1.94%	6.33%	10.70%	8.91%	2.22	34.77M	0.85	0.48%	29.65M
22	Business Equipment & Supplies	-0.30%	-1.21%	-5.95%	-22.55%	-20.64%	-20.97%	1.00	1.05M	0.67	0.47%	702.05K
23	Capital Markets	-3.34%	-0.93%	15.65%	11.26%	52.84%	27.27%	2.10	491.12M	1.06	-1.74%	522.96M
24	Chemicals	6.36%	-13.52%	-13.83%	-34.49%	-52.61%	-36.37%	2.51	36.17M	0.83	1.04%	30.05M
25	Coking Coal	-12.36%	3.54%	22.06%	5.80%	-12.42%	-5.54%	1.86	7.62M	2.84	-2.58%	21.67M
26	Communication Equipment	-5.21%	-0.71%	5.71%	4.45%	29.50%	8.59%	2.15	154.06M	0.99	-0.87%	151.99M
27	Computer Hardware	-4.55%	7.42%	23.54%	10.54%	28.92%	19.96%	1.70	268.40M	0.67	-2.91%	179.32M
28	Confectioners	2.11%	-6.89%	-0.14%	4.70%	-9.68%	5.59%	2.22	9.46M	0.73	1.31%	6.95M
29	Conglomerates	-0.80%	-3.59%	-0.99%	3.12%	12.88%	3.74%	2.07	15.91M	0.75	0.39%	11.95M
30	Consulting Services	3.28%	-3.59%	-10.57%	-3.52%	-10.87%	-3.56%	2.17	7.01M	0.67	1.51%	4.70M
31	Consumer Electronics	0.56%	8.92%	10.58%	-4.85%	4.36%	-6.53%	2.02	76.52M	0.70	-0.16%	53.69M
32	Copper	-2.16%	-5.02%	6.35%	2.64%	-5.29%	8.60%	2.62	36.02M	0.50	-1.26%	18.10M
33	Credit Services	1.15%	0.43%	-0.95%	-0.70%	28.13%	8.39%	1.81	146.55M	1.07	-0.26%	157.42M
34	Department Stores	6.61%	12.35%	24.73%	-1.40%	9.72%	1.87%	3.66	20.13M	0.45	-0.96%	9.02M
35	Diagnostics & Research	3.01%	16.27%	13.55%	0.59%	-12.32%	-1.57%	1.74	55.42M	0.76	1.30%	42.22M
36	Discount Stores	-1.80%	4.78%	0.90%	-3.27%	23.55%	9.81%	1.69	34.51M	1.07	0.42%	37.01M
37	Drug Manufacturers - General	5.34%	2.80%	4.16%	-3.47%	-13.78%	2.01%	2.00	133.33M	0.91	0.71%	121.34M
38	Drug Manufacturers - Specialty & Generic	2.97%	4.84%	1.42%	3.62%	-4.26%	-0.10%	1.83	177.50M	1.75	0.07%	310.73M
39	Education & Training Services	0.85%	6.74%	-2.21%	-4.12%	13.59%	6.81%	1.70	27.99M	0.77	-0.19%	21.53M
40	Electrical Equipment & Parts	-4.39%	7.11%	23.69%	14.81%	36.88%	13.75%	1.91	170.65M	0.60	-2.77%	102.76M
41	Electronic Components	-3.78%	6.28%	26.28%	32.87%	54.27%	41.94%	1.81	44.97M	0.95	-1.83%	42.68M
42	Electronic Gaming & Multimedia	-4.50%	-2.58%	15.68%	31.82%	60.31%	44.33%	1.80	24.22M	10.87	-1.11%	263.26M
43	Electronics & Computer Distribution	-0.53%	-0.86%	7.33%	-0.64%	-1.19%	7.51%	2.37	2.75M	0.76	0.01%	2.09M
44	Engineering & Construction	-2.56%	4.14%	16.96%	31.47%	37.62%	25.50%	1.73	29.32M	0.77	-0.76%	22.60M
45	Entertainment	0.83%	-1.51%	4.03%	10.99%	56.81%	22.50%	1.83	161.63M	0.79	-1.48%	127.75M
46	Farm & Heavy Construction Machinery	-0.64%	1.59%	4.21%	4.97%	20.04%	11.06%	2.22	32.79M	0.66	0.37%	21.59M
47	Farm Products	0.52%	8.51%	9.26%	15.85%	-2.21%	8.40%	2.46	16.98M	0.92	0.21%	15.58M
48	Financial Conglomerates	0.54%	9.09%	15.14%	17.27%	22.39%	21.70%	1.91	3.34M	0.75	-0.38%	2.51M
49	Financial Data & Stock Exchanges	-1.50%	-2.15%	3.23%	4.13%	16.98%	11.03%	2.04	32.03M	0.78	-0.15%	25.14M
50	Food Distribution	-1.33%	-1.27%	6.26%	9.59%	13.85%	7.86%	1.79	10.44M	0.76	0.21%	7.95M
51	Footwear & Accessories	1.28%	0.58%	6.02%	-8.50%	-11.64%	-11.85%	2.19	39.28M	0.72	-0.50%	28.22M
52	Furnishings, Fixtures & Appliances	2.79%	8.28%	17.52%	4.42%	13.11%	12.96%	1.79	20.61M	1.07	0.86%	22.13M
53	Gambling	1.35%	-3.01%	19.85%	-2.28%	27.88%	14.10%	1.37	55.74M	1.03	-0.90%	57.62M
