
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	272.26B	53.13	27.28	1.22	3.93	11.28	22.23	31.91	67.77%	43.49%	30.79%	1.46%	70.03M
2	Aerospace & Defense	1570.37B	43.63	31.70	2.82	3.12	7.26	24.40	53.04	22.10%	15.46%	3.49%	0.34%	173.97M
3	Agricultural Inputs	117.49B	21.24	14.37	1.76	1.49	1.46	15.93	16.77	3.16%	12.07%	4.37%	-0.42%	20.62M
4	Airlines	162.73B	12.33	9.37	0.66	0.60	2.64	3.33	14.02	-6.00%	18.67%	6.15%	-0.36%	145.85M
5	Airports & Air Services	42.09B	31.00	20.85	2.62	5.36	7.07	11.83	33.00	19.63%	11.83%	13.35%	-0.76%	66.79M
6	Aluminum	14.44B	12.01	10.85	0.28	0.55	1.72	7.75	24.82	-5.06%	42.85%	4.06%	-0.36%	7.81M
7	Apparel Manufacturing	68.49B	25.83	19.24	1.99	1.03	3.77	8.81	19.43	11.55%	12.98%	1.74%	-0.58%	44.27M
8	Apparel Retail	281.43B	23.52	21.29	2.99	1.64	7.26	16.83	30.27	11.10%	7.86%	7.03%	-0.99%	44.53M
9	Asset Management	1397.52B	31.64	18.75	2.19	3.89	3.08	12.15	21.94	4.69%	14.43%	18.16%	0.00%	145.29M
10	Auto & Truck Dealerships	155.83B	28.95	22.22	0.68	0.71	4.11	26.71	31.02	16.06%	42.41%	18.88%	-0.07%	42.52M
11	Auto Manufacturers	1976.53B	39.56	30.69	3.78	1.70	3.13	7.30	101.15	21.04%	10.46%	28.52%	2.13%	444.61M
12	Auto Parts	325.48B	24.93	17.38	2.22	1.16	3.68	16.86	23.72	5.62%	11.21%	8.57%	-0.46%	128.04M
13	Banks - Diversified	3395.02B	14.42	11.88	1.17	1.89	1.57	1116.05	17.72	10.15%	12.38%	12.25%	-0.11%	89.99M
14	Banks - Regional	1734.66B	14.40	10.88	0.97	1.74	1.38	1755.97	9.82	9.59%	14.84%	15.74%	-0.72%	350.14M
15	Beverages - Brewers	193.68B	18.73	13.12	2.09	1.36	1.62	10.24	9.48	-8.94%	8.96%	4.02%	-0.71%	52.07M
