
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	228.33B	44.34	23.07	1.13	3.29	9.33	18.34	26.63	63.34%	39.12%	29.50%	-0.67%	80.85M
2	Aerospace & Defense	1554.68B	43.10	31.36	2.83	3.09	7.28	24.42	52.57	20.45%	15.21%	3.69%	-0.29%	118.82M
3	Agricultural Inputs	122.70B	22.18	15.02	1.82	1.55	1.53	16.74	17.51	3.05%	12.20%	4.37%	0.51%	17.58M
4	Airlines	170.90B	12.95	9.91	0.70	0.62	2.75	3.46	14.72	-5.89%	18.47%	6.16%	-1.06%	89.64M
5	Airports & Air Services	42.50B	31.31	20.96	2.60	5.41	7.14	11.94	33.33	20.49%	12.06%	13.03%	-0.52%	43.75M
6	Aluminum	13.66B	11.36	10.49	0.28	0.52	1.62	7.33	23.48	-5.07%	40.05%	4.12%	-0.14%	5.78M
7	Apparel Manufacturing	66.87B	24.98	18.75	2.01	1.01	3.74	8.61	18.69	11.33%	12.43%	1.71%	1.17%	55.72M
8	Apparel Retail	286.78B	23.90	21.19	2.97	1.67	7.63	18.03	30.12	11.41%	8.05%	7.34%	0.95%	85.57M
9	Asset Management	1386.89B	31.33	18.50	2.20	3.85	3.06	12.05	22.05	4.96%	14.23%	18.04%	0.07%	107.01M
10	Auto & Truck Dealerships	158.90B	29.49	22.65	0.70	0.73	4.19	27.22	31.63	16.29%	42.25%	18.87%	0.24%	15.94M
11	Auto Manufacturers	1739.03B	35.14	27.02	3.55	1.49	2.75	6.42	89.00	21.54%	9.89%	27.90%	-0.66%	394.57M
12	Auto Parts	321.85B	23.92	17.13	2.15	1.15	3.67	16.98	23.36	6.12%	11.11%	8.57%	0.42%	80.48M
13	Banks - Diversified	3299.60B	14.03	11.62	1.16	1.84	1.52	1084.68	16.12	10.05%	12.10%	12.22%	0.17%	116.52M
14	Banks - Regional	1746.42B	14.53	10.14	0.99	1.75	1.39	1340.86	9.88	7.60%	14.68%	15.63%	0.08%	364.13M
15	Beverages - Brewers	204.15B	19.74	13.72	2.24	1.43	1.71	10.79	10.00	-9.78%	8.82%	3.92%	0.43%	41.12M
16	Beverages - Non-Alcoholic	689.85B	26.69	19.79	3.63	3.09	6.98	21.07	47.73	7.82%	7.35%	8.30%	0.31%	77.99M
17	Beverages - Wineries & Distilleries	92.85B	28.82	19.05	7.91	3.14	5.49	24.17	24.87	5.44%	3.64%	6.05%	1.05%	23.87M
18	Biotechnology	905.73B	51.57	34.66	2.53	9.04	4.07	5.31	46.74	-10.22%	20.39%	46.10%	-0.26%	793.59M
19	Broadcasting	15.53B	11.38	9.36	-	0.64	1.69	5.73	4.51	30.77%	-7.58%	27.93%	0.41%	14.29M
20	Building Materials	229.92B	27.74	22.95	2.81	2.95	2.91	27.14	40.65	22.30%	9.89%	6.62%	-0.48%	27.71M
21	Building Products & Equipment	379.83B	29.30	21.64	2.79	2.57	5.62	55.30	28.41	13.31%	10.50%	5.65%	0.23%	34.95M
22	Business Equipment & Supplies	1.15B	13.99	11.83	-	0.52	0.71	2.26	7.10	1.30%	-	15.00%	0.55%	673.88K
23	Capital Markets	1060.15B	22.05	18.36	1.27	1.92	3.00	4.26	5.94	13.36%	17.37%	30.32%	-0.75%	509.62M
24	Chemicals	36.63B	65.52	24.29	-	0.39	1.01	4.51	17.47	17.60%	-2.65%	2.21%	0.02%	27.57M
