
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	268.82B	52.46	26.92	1.21	3.88	11.14	21.94	31.51	67.49%	43.28%	30.71%	1.33%	47.28M
2	Aerospace & Defense	1566.63B	43.53	31.62	2.81	3.11	7.24	24.34	52.91	21.96%	15.50%	3.75%	1.01%	165.52M
3	Agricultural Inputs	117.99B	21.33	14.43	1.77	1.49	1.47	15.99	16.84	3.14%	12.06%	4.37%	-2.36%	24.80M
4	Airlines	163.02B	12.35	9.41	0.66	0.60	2.64	3.33	14.04	-5.96%	18.67%	6.15%	-1.91%	161.80M
5	Airports & Air Services	42.41B	31.24	20.98	2.63	5.40	7.12	11.92	33.25	19.74%	11.88%	13.34%	-0.60%	79.34M
6	Aluminum	14.50B	12.05	10.89	0.28	0.55	1.72	7.77	24.91	-5.06%	42.88%	4.05%	0.92%	9.06M
7	Apparel Manufacturing	67.41B	25.42	18.94	1.99	1.02	3.71	8.67	19.13	11.56%	12.78%	1.74%	1.30%	51.09M
8	Apparel Retail	283.65B	23.70	21.46	2.99	1.65	7.32	16.96	30.51	11.06%	7.92%	6.95%	1.18%	56.53M
9	Asset Management	1340.06B	30.33	17.98	2.14	3.73	2.95	11.65	21.04	4.69%	14.19%	17.40%	0.10%	143.95M
10	Auto & Truck Dealerships	126.97B	23.59	18.08	0.64	0.58	3.35	21.76	25.28	16.07%	36.97%	16.90%	0.04%	17.11M
11	Auto Manufacturers	1935.27B	38.74	30.09	3.77	1.66	3.06	7.14	99.04	21.31%	10.28%	28.47%	2.74%	407.13M
12	Auto Parts	326.97B	24.30	17.41	2.17	1.17	3.73	17.25	23.73	5.74%	11.20%	8.58%	-0.57%	134.22M
13	Banks - Diversified	3399.30B	14.44	11.90	1.17	1.90	1.57	1117.46	17.75	10.20%	12.29%	12.25%	0.68%	85.45M
14	Banks - Regional	1747.37B	14.51	10.96	0.98	1.75	1.39	1768.84	9.89	9.56%	14.81%	15.74%	0.00%	366.59M
15	Beverages - Brewers	194.55B	18.81	13.19	2.09	1.37	1.63	10.29	9.53	-9.04%	9.00%	4.03%	0.22%	51.58M
16	Beverages - Non-Alcoholic	667.19B	25.81	19.05	3.40	2.99	6.75	20.34	46.16	7.96%	7.59%	8.29%	-1.46%	79.92M
17	Beverages - Wineries & Distilleries	83.78B	26.21	17.18	7.43	2.84	4.96	21.51	20.74	5.40%	3.53%	6.03%	-1.04%	13.99M
18	Biotechnology	910.66B	51.84	34.88	2.39	9.14	4.10	5.37	46.97	-10.73%	21.68%	46.31%	-0.80%	822.29M
19	Broadcasting	15.45B	11.32	9.38	-	0.64	1.68	5.70	4.49	30.50%	-7.60%	32.68%	-0.33%	21.21M
