
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	286.79B	56.02	28.67	1.25	4.14	11.88	23.41	33.54	68.98%	44.87%	31.22%	3.05%	233.24M
2	Aerospace & Defense	1581.12B	43.93	31.95	2.84	3.14	7.31	24.57	53.40	22.71%	15.45%	3.43%	0.21%	327.71M
3	Agricultural Inputs	107.12B	23.31	14.94	1.95	1.58	1.58	15.23	15.30	3.19%	11.97%	4.36%	0.27%	26.08M
4	Airlines	163.81B	12.41	9.44	0.67	0.60	2.66	3.35	14.11	-6.14%	18.61%	6.12%	-0.12%	173.25M
5	Airports & Air Services	44.30B	32.63	22.01	2.54	5.64	7.44	12.45	34.73	18.83%	12.83%	13.32%	3.47%	73.67M
6	Aluminum	14.38B	11.95	10.57	0.26	0.55	1.71	7.71	24.71	-5.06%	45.14%	4.07%	-1.11%	12.42M
7	Apparel Manufacturing	68.65B	25.89	19.27	2.00	1.04	3.78	8.83	19.48	11.54%	12.95%	1.72%	-0.80%	75.64M
8	Apparel Retail	282.06B	23.57	21.33	3.01	1.64	7.28	16.87	30.34	11.19%	7.84%	7.08%	-0.36%	71.28M
9	Asset Management	1428.21B	32.33	19.16	2.24	3.97	3.15	12.42	22.43	4.70%	14.47%	18.19%	0.09%	266.95M
10	Auto & Truck Dealerships	161.11B	29.93	22.97	0.69	0.74	4.25	27.61	32.07	16.18%	43.45%	19.28%	0.62%	34.46M
11	Auto Manufacturers	1992.36B	39.88	30.86	3.69	1.71	3.15	7.36	101.96	21.02%	10.81%	28.57%	1.28%	406.28M
12	Auto Parts	326.32B	24.99	17.43	2.22	1.16	3.69	16.91	23.78	4.62%	11.28%	8.58%	-0.07%	252.55M
13	Banks - Diversified	3458.61B	14.69	12.10	1.18	1.93	1.60	1136.95	18.06	10.13%	12.45%	12.24%	0.65%	217.95M
14	Banks - Regional	1753.29B	14.56	10.99	0.98	1.76	1.39	1774.83	9.92	9.48%	14.86%	15.77%	-0.56%	632.66M
15	Beverages - Brewers	195.67B	18.92	13.25	2.09	1.37	1.64	10.35	9.58	-8.89%	9.04%	4.03%	1.05%	66.40M
16	Beverages - Non-Alcoholic	669.34B	25.89	19.12	3.44	3.00	6.77	20.41	46.31	7.79%	7.53%	8.25%	0.16%	108.46M
17	Beverages - Wineries & Distilleries	81.61B	25.53	16.74	7.26	2.76	4.85	20.98	20.20	5.38%	3.52%	6.06%	-0.79%	16.39M
18	Biotechnology	930.44B	52.98	35.65	2.46	9.34	4.19	5.49	47.99	-11.21%	21.52%	45.92%	-0.90%	1.07B
19	Broadcasting	15.64B	11.46	9.50	-	0.65	1.70	5.77	4.55	30.57%	-7.55%	32.41%	0.39%	28.96M
20	Building Materials	228.69B	27.59	22.96	2.82	2.93	2.89	26.99	40.43	22.32%	9.78%	6.63%	-0.64%	78.31M
21	Building Products & Equipment	360.21B	27.88	20.73	2.72	2.44	5.35	52.58	26.98	13.88%	10.25%	5.64%	-0.23%	54.33M
22	Business Equipment & Supplies	1.16B	14.04	11.87	-	0.52	0.71	2.27	7.13	1.31%	-	15.03%	-1.85%	2.36M
23	Capital Markets	1141.49B	24.21	19.94	1.55	2.12	3.21	4.52	6.41	13.06%	15.63%	27.07%	0.61%	939.21M
24	Chemicals	35.66B	64.26	24.30	-	0.38	0.99	4.39	16.99	18.01%	-4.41%	2.21%	-2.46%	63.97M
25	Coking Coal	8.25B	72.79	14.27	2.70	1.36	1.77	7.50	24.38	-7.76%	26.93%	7.66%	-0.22%	14.68M
