
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	261.61B	51.06	26.25	1.21	3.83	10.95	21.50	30.66	66.19%	42.10%	30.40%	-2.58%	94.23K
2	Aerospace & Defense	1529.77B	42.51	30.86	2.75	3.04	7.07	23.77	51.67	20.82%	15.48%	3.53%	-0.01%	192.54K
3	Agricultural Inputs	118.42B	21.41	14.48	1.75	1.50	1.47	16.05	16.90	3.17%	12.21%	4.37%	0.00%	0.00K
4	Airlines	166.12B	12.58	9.62	0.68	0.60	2.67	3.36	14.31	-5.73%	18.43%	6.17%	-0.08%	25.71K
5	Airports & Air Services	41.68B	30.71	20.75	2.58	5.31	7.00	11.71	32.68	19.85%	11.91%	13.35%	0.40%	80.69K
6	Aluminum	13.28B	11.04	9.98	0.26	0.51	1.58	7.12	22.82	-5.07%	42.56%	4.10%	0.45%	0.26K
7	Apparel Manufacturing	68.01B	25.27	19.09	1.96	1.02	3.72	8.70	19.16	11.43%	12.91%	1.66%	0.45%	1.67K
8	Apparel Retail	286.00B	23.85	21.53	3.01	1.67	7.42	17.07	30.60	11.20%	7.92%	7.04%	0.44%	8.12K
9	Asset Management	1362.53B	30.91	18.31	2.16	4.03	3.08	12.49	21.36	4.89%	14.32%	17.93%	-0.07%	329.42K
10	Auto & Truck Dealerships	159.81B	29.69	22.76	0.70	0.73	4.21	27.39	31.81	16.11%	42.32%	18.95%	-0.47%	0.78K
11	Auto Manufacturers	1735.67B	34.74	26.92	3.41	0.19	2.75	0.68	88.83	21.09%	10.17%	27.87%	0.13%	5.10M
12	Auto Parts	327.03B	24.30	17.42	2.17	1.17	3.73	17.25	23.74	6.03%	11.18%	8.61%	-0.02%	283.71K
13	Banks - Diversified	3320.47B	14.10	11.62	1.15	1.85	1.53	1091.54	17.33	10.16%	12.28%	12.22%	0.09%	74.18K
14	Banks - Regional	1911.63B	15.88	11.33	1.09	1.91	1.52	1935.12	10.80	7.72%	14.61%	16.29%	0.17%	16.09K
15	Beverages - Brewers	194.72B	18.83	13.20	2.09	1.37	1.63	10.30	9.53	-9.39%	9.00%	3.97%	-0.48%	1.85K
16	Beverages - Non-Alcoholic	678.09B	26.23	19.35	3.47	3.06	6.92	20.78	47.19	7.90%	7.57%	8.25%	-0.05%	12.06K
17	Beverages - Wineries & Distilleries	86.65B	27.11	17.78	7.66	2.93	5.13	22.24	21.45	5.30%	3.54%	5.96%	-1.46%	14.34K
18	Biotechnology	936.00B	53.28	35.84	2.60	9.39	4.21	5.50	48.28	-10.82%	20.48%	46.05%	0.01%	488.05K
19	Broadcasting	15.18B	11.12	9.15	-	0.63	1.65	5.60	4.41	30.47%	-7.61%	31.35%	-1.96%	43.96K
20	Building Materials	229.17B	27.65	22.95	2.82	2.94	2.90	27.05	40.52	22.46%	9.81%	6.62%	0.11%	2.30K
21	Building Products & Equipment	366.83B	28.39	20.90	2.72	2.48	5.44	53.53	27.47	13.54%	10.42%	5.64%	0.05%	7.04M
22	Business Equipment & Supplies	1.14B	13.79	11.66	-	0.51	0.70	2.23	7.00	1.30%	-	14.77%	0.00%	0.00K
23	Capital Markets	1079.08B	22.83	18.84	1.46	2.00	3.04	4.27	6.06	13.50%	15.59%	26.39%	0.02%	3.76M
24	Chemicals	36.39B	76.79	24.00	-	0.39	1.03	4.55	17.34	17.38%	-3.83%	2.10%	0.00%	0.00K
25	Coking Coal	7.27B	64.09	12.58	2.44	1.20	1.56	6.60	21.46	-7.77%	26.22%	7.72%	0.00%	0.00K
26	Communication Equipment	549.18B	30.61	17.77	3.16	3.05	4.39	12.32	22.45	10.17%	9.68%	3.76%	0.06%	618.74K
27	Computer Hardware	477.84B	36.28	22.87	2.09	2.16	11.35	12.72	27.70	15.57%	17.32%	12.95%	2.15%	529.09K
28	Confectioners	121.84B	25.88	23.03	-	2.48	4.06	45.61	26.38	8.08%	-0.15%	7.05%	-0.58%	0.26K
29	Conglomerates	240.12B	23.11	18.42	3.00	2.01	6.65	10.87	30.49	0.89%	7.71%	-0.76%	-0.47%	1.39K
30	Consulting Services	95.00B	30.93	24.82	2.72	3.18	8.88	43.72	27.91	18.04%	11.38%	6.60%	-0.05%	6.81K
31	Consumer Electronics	3642.48B	34.58	28.69	4.08	7.08	28.24	53.40	31.61	14.98%	8.49%	8.20%	-0.42%	6.80M
