
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	273.78B	53.43	27.36	1.21	3.95	11.32	22.35	32.09	67.83%	44.00%	30.82%	0.77%	55.58M
2	Aerospace & Defense	1559.11B	43.32	31.48	2.81	3.10	7.21	24.23	52.66	22.03%	15.41%	3.55%	-0.69%	186.92M
3	Agricultural Inputs	117.76B	21.29	14.40	1.76	1.49	1.46	15.96	16.80	3.13%	12.11%	4.36%	0.23%	17.21M
4	Airlines	164.17B	12.43	9.45	0.67	0.60	2.66	3.36	14.14	-6.06%	18.66%	6.14%	0.86%	172.66M
5	Airports & Air Services	42.09B	31.01	20.94	2.37	5.36	7.07	11.83	33.00	19.62%	13.09%	13.35%	0.01%	74.45M
6	Aluminum	14.34B	11.92	10.77	0.28	0.55	1.70	7.69	24.64	-5.06%	43.07%	4.06%	-0.70%	9.15M
7	Apparel Manufacturing	68.04B	25.66	19.12	1.99	1.03	3.75	8.75	19.30	11.46%	12.90%	1.73%	-0.62%	48.49M
8	Apparel Retail	281.93B	23.56	21.33	3.00	1.64	7.28	16.86	30.33	11.10%	7.85%	7.03%	0.18%	48.29M
9	Asset Management	1399.53B	31.68	18.77	2.20	3.89	3.08	12.16	21.98	4.74%	14.43%	18.11%	0.16%	208.05M
10	Auto & Truck Dealerships	158.60B	29.46	22.63	0.69	0.73	4.18	27.18	31.57	16.19%	42.88%	19.07%	1.39%	22.90M
11	Auto Manufacturers	1994.31B	39.92	30.87	3.71	1.71	3.16	7.36	102.06	21.05%	10.75%	28.61%	0.90%	427.18M
12	Auto Parts	325.49B	24.93	17.38	2.22	1.16	3.68	16.86	23.72	5.41%	11.24%	8.56%	-0.00%	138.95M
13	Banks - Diversified	3419.19B	14.52	11.96	1.17	1.91	1.58	1123.99	17.85	10.15%	12.42%	12.24%	0.71%	117.77M
14	Banks - Regional	1753.10B	14.55	10.99	0.98	1.76	1.39	1774.64	9.92	9.59%	14.84%	15.74%	1.07%	422.10M
15	Beverages - Brewers	195.15B	18.87	13.22	2.10	1.37	1.64	10.32	9.56	-8.89%	8.97%	4.02%	0.76%	50.93M
16	Beverages - Non-Alcoholic	675.11B	26.12	19.28	3.45	3.02	6.83	20.58	46.70	7.89%	7.57%	8.29%	1.06%	68.61M
17	Beverages - Wineries & Distilleries	82.94B	25.95	17.01	7.39	2.81	4.91	21.30	20.53	5.36%	3.51%	6.05%	-0.77%	10.19M
18	Biotechnology	919.01B	52.37	35.26	2.45	9.22	4.14	5.42	47.40	-11.33%	21.40%	45.87%	0.23%	725.75M
19	Broadcasting	15.44B	11.31	9.38	-	0.64	1.68	5.70	4.49	30.57%	-7.57%	31.94%	0.32%	18.61M
20	Building Materials	228.49B	27.57	22.94	2.83	2.93	2.89	26.97	40.40	22.49%	9.76%	6.62%	-0.87%	38.42M
21	Building Products & Equipment	357.55B	27.68	20.57	2.72	2.42	5.31	52.19	26.78	13.80%	10.18%	5.61%	-1.00%	39.13M
22	Business Equipment & Supplies	1.16B	14.04	11.87	-	0.52	0.71	2.27	7.13	1.31%	-	15.04%	0.02%	931.87K
23	Capital Markets	1113.76B	23.62	19.45	1.51	2.07	3.13	4.42	6.25	13.11%	15.61%	26.83%	0.88%	705.13M
24	Chemicals	36.67B	66.09	24.99	-	0.39	1.02	4.51	17.47	17.68%	-4.47%	2.17%	-0.50%	35.75M
25	Coking Coal	7.89B	69.62	13.67	2.77	1.30	1.70	7.17	23.32	-7.39%	25.09%	7.37%	0.68%	8.95M
26	Communication Equipment	558.33B	31.12	18.06	3.14	3.10	4.46	12.53	22.83	10.03%	9.90%	3.80%	0.78%	186.40M
27	Computer Hardware	499.84B	38.22	23.70	2.21	2.26	12.01	13.44	29.14	13.52%	17.30%	12.42%	0.97%	381.38M
28	Confectioners	123.36B	26.20	23.30	757.38	2.51	4.11	46.18	26.71	8.10%	0.03%	7.05%	-0.15%	8.83M
29	Conglomerates	241.28B	23.22	18.50	2.97	2.01	6.68	10.92	30.63	0.88%	7.81%	-0.78%	-0.12%	15.23M
30	Consulting Services	94.26B	30.69	24.63	2.67	3.15	8.81	43.38	27.69	17.99%	11.49%	6.77%	-0.12%	7.09M
31	Consumer Electronics	3729.83B	35.41	29.27	4.06	7.25	28.91	54.68	32.37	14.98%	8.72%	8.20%	0.38%	75.71M
