
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	260.63B	50.87	26.16	1.19	3.81	10.91	21.42	30.55	66.96%	42.79%	30.55%	-2.31%	86.63M
2	Aerospace & Defense	1549.30B	43.05	31.24	2.78	3.08	7.16	24.07	52.33	21.30%	15.49%	3.48%	1.30%	145.09M
3	Agricultural Inputs	119.34B	21.58	14.60	1.78	1.51	1.48	16.18	17.03	3.22%	12.13%	4.37%	0.77%	16.53M
4	Airlines	167.06B	12.65	9.67	0.69	0.60	2.69	3.38	14.39	-5.87%	18.36%	6.14%	0.51%	137.45M
5	Airports & Air Services	41.33B	30.45	20.54	2.52	5.26	6.94	11.61	32.41	20.26%	12.06%	13.29%	-0.65%	48.31M
6	Aluminum	13.34B	11.09	10.02	0.26	0.51	1.59	7.15	22.92	-5.06%	42.95%	4.10%	0.70%	10.18M
7	Apparel Manufacturing	67.66B	25.13	18.99	1.94	1.02	3.70	8.65	19.06	11.49%	12.94%	1.69%	-0.55%	56.98M
8	Apparel Retail	284.85B	23.76	21.45	3.01	1.66	7.38	17.00	30.68	11.21%	7.90%	7.03%	-0.08%	53.84M
9	Asset Management	1373.12B	31.15	18.45	2.17	4.06	3.10	12.59	21.53	4.84%	14.37%	17.98%	0.53%	143.56M
10	Auto & Truck Dealerships	156.70B	29.11	22.33	0.69	0.72	4.12	26.85	31.19	16.23%	42.24%	18.91%	-2.12%	24.12M
11	Auto Manufacturers	1724.59B	34.52	26.85	3.49	0.19	2.73	0.68	88.26	21.23%	9.89%	27.85%	-0.41%	458.23M
12	Auto Parts	323.62B	24.05	17.24	2.16	1.15	3.69	17.07	23.49	6.13%	11.15%	8.55%	-1.05%	107.99M
13	Banks - Diversified	3340.73B	14.18	11.70	1.16	1.86	1.54	1098.20	17.44	10.20%	12.26%	12.22%	0.68%	104.38M
14	Banks - Regional	1920.55B	15.96	11.38	1.09	1.92	1.53	1944.15	10.85	7.71%	14.61%	16.28%	0.51%	326.76M
15	Beverages - Brewers	194.64B	18.82	13.19	2.09	1.37	1.63	10.29	9.53	-9.28%	9.00%	3.97%	-0.35%	48.48M
16	Beverages - Non-Alcoholic	675.63B	26.14	19.28	3.45	3.05	6.90	20.70	47.02	7.89%	7.57%	8.24%	-0.41%	57.81M
17	Beverages - Wineries & Distilleries	85.77B	26.83	17.59	7.51	2.90	5.08	22.02	21.23	5.41%	3.57%	6.02%	-2.24%	9.47M
18	Biotechnology	920.45B	52.39	35.30	2.55	9.24	4.13	5.40	47.47	-11.08%	20.54%	45.86%	-1.81%	682.60M
19	Broadcasting	14.85B	10.88	8.95	-	0.61	1.61	5.48	4.32	30.44%	-7.66%	31.29%	-2.28%	21.37M
20	Building Materials	229.53B	27.70	22.98	2.82	2.94	2.90	27.09	40.58	22.38%	9.81%	6.63%	0.23%	23.98M
21	Building Products & Equipment	369.66B	28.61	21.07	2.74	2.50	5.49	53.95	27.68	13.75%	10.42%	5.67%	0.79%	74.66M
22	Business Equipment & Supplies	1.12B	13.65	11.54	-	0.51	0.69	2.20	6.93	1.30%	-	14.67%	-0.99%	728.54K
23	Capital Markets	1081.51B	22.88	18.88	1.47	2.00	3.05	4.28	6.07	13.45%	15.58%	26.40%	0.30%	742.55M
24	Chemicals	36.01B	75.99	23.75	-	0.39	1.02	4.50	17.16	17.52%	-3.78%	2.12%	-1.05%	32.02M
25	Coking Coal	7.38B	65.05	12.77	2.47	1.22	1.59	6.70	21.79	-7.87%	26.35%	7.82%	1.45%	5.34M
26	Communication Equipment	555.59B	30.96	17.98	3.17	3.09	4.44	12.47	22.71	10.12%	9.77%	3.75%	1.23%	179.07M
27	Computer Hardware	484.02B	36.75	23.16	2.11	2.18	11.50	12.89	28.06	15.66%	17.39%	13.05%	3.14%	223.62M
28	Confectioners	121.35B	25.77	22.93	-	2.47	4.04	45.43	26.27	8.06%	-0.13%	7.05%	-0.70%	8.33M
29	Conglomerates	239.82B	23.08	18.39	2.99	2.00	6.65	10.86	30.45	0.90%	7.71%	-0.77%	-0.42%	13.12M
30	Consulting Services	93.51B	30.44	24.43	2.68	3.13	8.74	43.04	27.47	18.04%	11.36%	6.60%	-1.60%	6.68M
31	Consumer Electronics	3545.12B	33.65	27.89	3.90	6.89	27.48	51.97	30.77	14.97%	8.63%	8.19%	-3.08%	386.58M
32	Copper	157.61B	26.53	18.77	1.68	3.85	4.77	16.23	28.55	17.57%	15.82%	10.36%	2.22%	27.47M
33	Credit Services	1746.96B	27.97	20.98	1.89	5.28	6.13	11.41	18.14	10.41%	14.78%	10.47%	-1.12%	146.80M
34	Department Stores	15.42B	13.98	17.23	-	0.34	1.55	6.96	8.31	28.57%	-13.39%	-0.61%	-0.77%	14.46M
35	Diagnostics & Research	656.20B	33.64	22.30	3.38	4.01	3.70	26.04	27.70	9.94%	9.94%	10.09%	-1.79%	58.03M
36	Discount Stores	1336.57B	38.21	33.58	4.10	1.15	8.94	42.55	47.06	9.43%	9.31%	7.14%	-1.78%	39.18M
37	Drug Manufacturers - General	3146.68B	23.09	13.55	1.18	4.46	6.11	25.50	18.97	5.86%	19.58%	9.28%	-0.19%	108.92M
38	Drug Manufacturers - Specialty & Generic	311.72B	30.97	14.30	2.01	2.32	2.24	12.15	15.93	11.55%	15.39%	8.36%	-0.61%	141.97M
39	Education & Training Services	57.57B	23.32	16.51	1.99	1.67	2.69	3.66	22.41	15.21%	11.74%	9.26%	-0.94%	78.64M
40	Electrical Equipment & Parts	147.47B	39.84	25.49	1.56	3.54	5.99	20.58	35.75	23.83%	25.61%	10.83%	5.17%	153.45M
41	Electronic Components	412.36B	46.80	27.05	2.30	2.81	6.29	26.97	35.61	16.69%	20.38%	7.86%	2.17%	70.68M
42	Electronic Gaming & Multimedia	276.35B	45.19	22.39	2.18	7.42	8.17	9.19	28.92	-24.72%	20.74%	22.93%	0.80%	13.21M
43	Electronics & Computer Distribution	30.69B	18.16	10.47	1.46	0.24	1.32	15.30	15.21	-0.57%	12.48%	9.02%	0.94%	3.29M
44	Engineering & Construction	336.07B	21.60	27.33	1.17	1.70	5.43	20.08	27.49	24.67%	18.41%	11.21%	2.87%	47.62M
45	Entertainment	1146.22B	43.74	35.15	2.09	3.41	4.78	19.37	30.10	19.47%	20.90%	11.87%	-1.11%	173.61M
46	Farm & Heavy Construction Machinery	425.26B	21.57	18.99	9.46	2.12	4.85	14.29	22.09	16.21%	2.28%	4.28%	0.40%	20.63M
47	Farm Products	78.28B	14.94	13.34	2.60	0.38	1.25	4.61	11.60	13.66%	5.75%	7.42%	-1.13%	14.60M
48	Financial Conglomerates	50.97B	16.03	3.16	1.17	1.54	1.38	4.45	32.58	4.61%	13.72%	13.83%	0.39%	2.03M
49	Financial Data & Stock Exchanges	693.70B	34.87	27.08	3.77	9.42	5.40	30.33	27.28	8.66%	9.25%	17.63%	-0.96%	22.83M
50	Food Distribution	80.67B	27.98	16.45	1.77	0.33	4.88	41.75	21.45	34.91%	15.82%	11.10%	-0.63%	9.47M
51	Footwear & Accessories	168.86B	33.84	26.93	3.12	2.12	6.61	11.70	28.24	10.78%	10.85%	11.43%	-0.08%	32.30M
52	Furnishings, Fixtures & Appliances	67.05B	29.15	16.32	2.47	0.93	2.50	16.72	22.82	3.89%	11.80%	7.07%	0.33%	114.95M
53	Gambling	125.34B	80.92	27.30	2.72	3.69	7.36	16.03	33.25	-21.27%	29.71%	43.27%	-0.49%	41.84M
54	Gold	524.12B	23.42	15.02	0.84	5.53	3.14	19.15	27.50	10.76%	27.96%	13.21%	2.19%	258.19M
55	Grocery Stores	74.76B	18.22	13.64	1.55	0.29	4.01	9.75	25.92	14.56%	11.72%	5.02%	-1.03%	26.41M
56	Health Information Services	123.78B	90.65	38.91	4.73	3.54	4.76	9.13	31.45	14.20%	19.15%	23.23%	-2.49%	52.19M
