No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	265.08B	51.73	26.60	1.20	3.83	10.98	21.64	31.07	67.21%	43.10%	30.61%	1.10%	62.87M
2	Aerospace & Defense	1549.37B	43.05	31.25	2.78	3.08	7.16	24.08	52.33	21.71%	15.49%	3.77%	-0.41%	189.01M
3	Agricultural Inputs	120.82B	21.84	14.78	1.79	1.53	1.50	16.49	17.24	3.15%	12.23%	4.36%	0.56%	17.71M
4	Airlines	152.58B	12.69	9.63	0.68	0.58	2.49	3.22	14.24	-3.00%	18.59%	6.25%	-1.40%	150.50M
5	Airports & Air Services	42.67B	31.43	21.20	2.64	5.43	7.16	11.99	33.45	19.74%	11.91%	13.36%	0.41%	86.87M
6	Aluminum	14.36B	11.94	10.79	0.28	0.55	1.71	7.70	24.68	-5.06%	42.88%	4.06%	2.67%	12.49M
7	Apparel Manufacturing	67.87B	25.41	19.06	1.96	1.02	3.70	8.68	19.09	11.59%	12.95%	1.73%	-2.14%	50.82M
8	Apparel Retail	280.92B	23.47	21.23	2.98	1.64	7.25	16.80	30.22	11.08%	7.88%	7.01%	-2.13%	54.05M
9	Asset Management	1395.80B	31.53	18.72	2.19	3.88	3.07	12.12	21.88	4.90%	14.41%	18.11%	-0.74%	113.49M
10	Auto & Truck Dealerships	155.60B	28.91	22.15	0.69	0.71	4.10	26.67	30.97	16.18%	42.19%	18.84%	-0.80%	16.94M
11	Auto Manufacturers	1883.70B	37.71	29.28	3.69	0.21	2.98	0.74	96.40	21.44%	10.21%	28.22%	4.62%	421.45M
12	Auto Parts	328.83B	24.44	17.52	2.19	1.17	3.75	17.35	23.87	6.02%	11.15%	8.57%	-0.68%	114.66M
13	Banks - Diversified	3376.48B	14.34	11.82	1.17	1.88	1.56	1109.96	17.63	10.18%	12.28%	12.24%	-0.05%	80.92M
14	Banks - Regional	1750.42B	14.51	10.96	0.98	1.75	1.39	1771.93	9.89	9.51%	14.78%	15.72%	-0.29%	328.05M
15	Beverages - Brewers	194.61B	18.82	13.20	2.10	1.37	1.63	10.29	9.53	-9.09%	8.94%	4.01%	-0.71%	46.82M
16	Beverages - Non-Alcoholic	675.75B	26.14	19.29	3.44	3.03	6.83	20.60	46.75	7.95%	7.60%	8.32%	-0.57%	55.36M
17	Beverages - Wineries & Distilleries	84.50B	26.44	17.33	7.47	2.86	5.00	21.69	20.92	5.39%	3.54%	6.02%	-1.62%	9.33M
18	Biotechnology	923.05B	52.54	35.28	2.57	9.26	4.15	5.42	47.61	-11.08%	20.47%	45.77%	-1.49%	681.73M
