
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	240.07B	46.86	24.21	1.17	3.52	10.05	19.75	28.14	64.52%	40.11%	29.86%	1.60%	39.65M
2	Aerospace & Defense	1543.82B	42.80	31.14	2.80	3.07	7.23	24.25	52.21	20.84%	15.28%	3.38%	0.74%	108.31M
3	Agricultural Inputs	119.08B	21.53	14.53	1.75	1.51	1.48	16.14	16.99	3.09%	12.32%	4.38%	0.23%	18.03M
4	Airlines	168.62B	12.77	9.78	0.70	0.61	2.71	3.41	14.52	-5.92%	18.26%	6.14%	-1.61%	146.03M
5	Airports & Air Services	41.38B	30.48	20.73	2.54	5.27	6.95	11.63	32.44	20.79%	12.01%	13.14%	1.26%	50.92M
6	Aluminum	13.33B	11.08	10.24	0.28	0.51	1.58	7.15	22.91	-5.07%	39.90%	4.11%	0.42%	8.61M
7	Apparel Manufacturing	69.40B	26.01	19.47	2.09	1.05	3.91	8.94	19.44	11.46%	12.44%	1.66%	2.52%	63.16M
8	Apparel Retail	294.35B	24.43	21.71	2.98	1.71	7.68	17.61	31.08	11.38%	8.21%	7.31%	2.31%	239.98M
9	Asset Management	1376.20B	30.12	18.50	2.11	4.07	3.11	12.62	21.58	4.87%	14.26%	17.95%	1.30%	137.76M
10	Auto & Truck Dealerships	159.54B	29.61	22.67	0.70	0.73	4.20	27.33	31.76	16.27%	42.29%	18.94%	1.92%	16.20M
11	Auto Manufacturers	1703.07B	34.37	26.33	3.59	1.46	2.69	6.29	87.16	21.27%	9.56%	27.61%	1.15%	331.79M
12	Auto Parts	323.26B	24.02	17.22	2.15	1.15	3.68	17.04	23.46	6.23%	11.18%	8.57%	1.58%	98.44M
13	Banks - Diversified	3332.20B	14.15	11.69	1.15	1.86	1.54	1095.40	17.40	10.08%	12.25%	12.24%	1.38%	100.90M
14	Banks - Regional	1931.50B	16.05	11.22	1.10	1.93	1.54	1955.23	10.92	7.72%	14.54%	16.24%	0.98%	329.69M
15	Beverages - Brewers	194.44B	18.80	13.21	2.15	1.36	1.63	10.28	9.52	-9.39%	8.73%	3.95%	0.14%	36.49M
16	Beverages - Non-Alcoholic	687.05B	26.58	19.61	3.48	3.10	7.01	21.05	47.82	7.90%	7.64%	8.35%	-0.66%	77.10M
17	Beverages - Wineries & Distilleries	89.36B	27.96	18.33	7.67	3.02	5.29	22.94	22.12	5.52%	3.65%	6.08%	-0.28%	12.27M
18	Biotechnology	920.53B	52.45	35.16	2.56	9.22	4.15	5.40	47.48	-10.76%	20.47%	45.69%	0.50%	545.61M
19	Broadcasting	15.36B	11.25	9.26	-	0.63	1.67	5.67	4.46	30.62%	-7.58%	29.82%	0.04%	18.30M
20	Building Materials	228.77B	27.60	22.91	2.80	2.93	2.89	27.00	40.45	22.42%	9.85%	6.61%	0.78%	26.92M
21	Building Products & Equipment	371.34B	28.68	21.13	2.75	2.52	5.49	54.21	27.82	13.63%	10.41%	5.66%	2.07%	28.94M
22	Business Equipment & Supplies	1.17B	14.15	11.96	-	0.53	0.72	2.29	7.18	1.30%	-	15.07%	2.60%	811.37K
23	Capital Markets	1060.81B	22.43	18.54	1.44	1.97	2.99	4.22	5.96	13.56%	15.61%	25.69%	1.16%	413.53M
24	Chemicals	36.10B	65.07	22.86	-	0.38	1.00	4.44	17.20	17.90%	-2.57%	2.23%	1.47%	33.85M
25	Coking Coal	7.03B	61.99	12.17	2.34	1.16	1.51	6.39	20.76	-8.00%	26.54%	7.93%	-0.23%	6.40M
26	Communication Equipment	548.79B	30.68	17.79	3.30	3.06	4.39	12.37	22.73	10.05%	9.29%	3.71%	1.66%	230.73M
27	Computer Hardware	465.36B	30.24	18.93	1.78	2.11	11.20	12.57	27.13	15.07%	17.00%	12.60%	2.81%	178.58M
28	Confectioners	119.62B	25.40	22.64	-	2.43	3.99	44.78	25.90	8.10%	-0.22%	7.05%	-0.40%	5.52M
29	Conglomerates	243.03B	23.39	18.64	3.03	2.03	6.74	10.97	31.08	0.89%	7.71%	-0.76%	1.23%	12.63M
30	Consulting Services	93.81B	30.54	24.51	2.70	3.14	8.77	43.17	27.55	18.05%	11.30%	6.55%	0.48%	5.34M
31	Consumer Electronics	3733.10B	35.44	29.36	4.14	7.25	28.94	54.73	32.40	15.00%	8.56%	8.22%	0.66%	58.88M
32	Copper	157.69B	26.55	18.81	1.69	3.85	4.77	16.24	28.57	17.55%	15.72%	10.39%	-0.20%	19.29M
33	Credit Services	1799.56B	28.81	21.62	1.96	5.44	6.31	11.75	18.69	10.43%	14.73%	10.44%	0.67%	117.99M
34	Department Stores	15.56B	12.46	15.65	-	0.34	1.52	7.03	8.15	28.38%	-13.20%	-0.62%	3.41%	30.80M
35	Diagnostics & Research	670.63B	34.38	22.79	3.45	4.10	3.78	26.62	28.32	9.96%	9.96%	10.05%	0.66%	57.18M
36	Discount Stores	1342.85B	38.39	33.73	4.12	1.15	8.98	42.75	47.36	9.41%	9.31%	7.13%	1.10%	38.57M
37	Drug Manufacturers - General	3147.57B	23.09	13.56	1.19	4.47	6.11	25.51	18.98	5.90%	19.43%	9.28%	-0.36%	117.72M
38	Drug Manufacturers - Specialty & Generic	310.70B	30.86	14.28	1.98	2.31	2.23	12.14	15.87	11.67%	15.60%	8.35%	-0.33%	156.33M
39	Education & Training Services	56.71B	22.97	16.25	1.94	1.64	2.65	3.60	22.02	15.68%	11.87%	9.42%	0.12%	21.94M
40	Electrical Equipment & Parts	140.50B	37.95	24.24	1.52	3.38	5.69	19.62	34.06	23.84%	24.94%	10.81%	1.52%	108.68M
41	Electronic Components	393.50B	44.66	25.82	2.21	2.68	6.00	25.76	34.01	16.56%	20.16%	7.83%	1.95%	133.54M
42	Electronic Gaming & Multimedia	265.05B	43.41	21.48	2.12	7.12	7.84	8.82	27.74	-25.56%	20.50%	23.14%	-1.17%	18.06M
43	Electronics & Computer Distribution	30.59B	18.10	10.44	1.45	0.24	1.32	15.24	15.15	-0.50%	12.48%	8.93%	1.42%	3.14M
44	Engineering & Construction	330.92B	21.29	26.94	1.16	1.68	5.34	19.85	26.92	24.61%	18.32%	11.13%	1.62%	29.95M
