
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	0.47%	8.48%	8.85%	39.36%	69.35%	6.52%	1.74	53.51M	0.83	-1.13%	44.21M
2	Aerospace & Defense	-1.01%	0.15%	8.61%	29.00%	34.17%	32.47%	1.84	186.35M	0.65	-0.12%	121.38M
3	Agricultural Inputs	-3.46%	-0.15%	-4.32%	13.20%	16.83%	18.36%	2.03	18.45M	0.91	-0.40%	16.73M
4	Airlines	-1.52%	9.66%	18.69%	17.33%	52.74%	9.48%	1.69	130.75M	1.18	0.39%	154.39M
5	Airports & Air Services	-2.68%	-6.78%	19.70%	44.97%	63.23%	42.05%	2.74	42.51M	1.01	0.82%	43.06M
6	Aluminum	-0.44%	6.93%	12.31%	5.53%	9.43%	-3.28%	1.88	8.81M	0.95	1.95%	8.35M
7	Apparel Manufacturing	2.58%	11.01%	12.80%	4.64%	4.85%	-4.97%	2.06	48.20M	0.91	-0.88%	43.85M
8	Apparel Retail	0.36%	3.64%	2.28%	5.74%	5.58%	-1.91%	1.92	59.63M	2.26	-2.69%	134.89M
9	Asset Management	-1.93%	-2.29%	10.08%	12.57%	21.82%	1.92%	2.00	133.44M	1.13	-1.12%	150.92M
10	Auto & Truck Dealerships	-0.64%	6.40%	7.69%	28.99%	38.97%	23.06%	2.00	20.22M	0.80	-0.07%	16.09M
11	Auto Manufacturers	0.83%	8.93%	17.26%	22.68%	37.28%	-7.45%	2.40	353.67M	1.10	2.49%	390.66M
12	Auto Parts	0.54%	5.39%	15.23%	18.61%	23.03%	21.25%	1.83	143.95M	0.54	-0.05%	78.45M
13	Banks - Diversified	-0.94%	4.73%	13.10%	21.18%	37.80%	28.02%	1.98	124.03M	1.01	-1.59%	125.18M
14	Banks - Regional	-0.67%	3.33%	7.36%	17.30%	18.08%	16.08%	1.80	372.81M	1.02	-0.60%	379.84M
15	Beverages - Brewers	-3.15%	-2.34%	-13.35%	-6.34%	-10.71%	4.93%	1.83	39.73M	1.15	1.57%	45.87M
16	Beverages - Non-Alcoholic	-0.43%	0.06%	0.56%	-2.11%	-6.99%	5.19%	1.97	63.29M	1.12	-0.51%	71.17M
17	Beverages - Wineries & Distilleries	-1.49%	1.99%	5.56%	-6.34%	-20.46%	-15.08%	2.44	13.99M	0.94	0.86%	13.21M
18	Biotechnology	3.36%	11.83%	6.12%	-6.96%	-4.69%	-4.88%	1.50	741.17M	0.82	2.35%	608.81M
19	Broadcasting	1.02%	13.76%	20.21%	-19.60%	-10.74%	-12.45%	2.04	23.33M	1.15	0.46%	26.77M
20	Building Materials	0.87%	5.80%	10.49%	12.43%	14.35%	10.49%	1.76	33.51M	0.93	1.31%	31.24M
21	Building Products & Equipment	-0.36%	1.99%	3.86%	14.98%	10.22%	8.49%	2.21	36.22M	0.93	1.20%	33.61M
22	Business Equipment & Supplies	0.80%	4.83%	-1.20%	-14.01%	-21.61%	-19.28%	1.00	981.88K	0.62	-0.54%	607.51K
23	Capital Markets	-2.84%	-0.08%	17.10%	30.10%	55.98%	28.36%	2.11	505.26M	0.90	-2.34%	455.27M
24	Chemicals	1.42%	14.49%	-4.07%	-22.52%	-47.71%	-31.59%	2.44	36.92M	1.13	2.85%	41.89M
25	Coking Coal	3.33%	17.18%	42.71%	31.27%	2.39%	4.37%	1.81	8.59M	1.02	9.02%	8.73M
