No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	277.80B	54.21	27.76	1.22	4.01	11.48	22.68	32.56	68.26%	44.40%	30.93%	1.21%	179.99M
2	Aerospace & Defense	1578.33B	43.86	31.89	2.84	3.13	7.30	24.52	53.31	22.43%	15.44%	3.46%	1.22%	178.18M
3	Agricultural Inputs	117.71B	21.28	14.39	1.76	1.49	1.46	15.95	16.80	3.13%	12.11%	4.36%	-0.04%	17.70M
4	Airlines	163.99B	12.42	9.45	0.67	0.60	2.66	3.35	14.12	-6.09%	18.64%	6.13%	-0.12%	160.32M
5	Airports & Air Services	42.81B	31.54	21.27	2.40	5.45	7.19	12.03	33.57	19.41%	13.17%	13.33%	1.71%	49.65M
6	Aluminum	14.54B	12.09	10.74	0.27	0.56	1.73	7.80	24.98	-5.05%	45.29%	4.07%	1.39%	7.96M
7	Apparel Manufacturing	69.28B	26.13	19.46	2.02	1.05	3.81	8.91	19.66	11.50%	12.95%	1.73%	1.78%	43.77M
8	Apparel Retail	283.06B	23.65	21.41	3.02	1.65	7.31	16.93	30.45	11.19%	7.83%	7.06%	0.38%	47.28M
9	Asset Management	1427.70B	32.32	19.15	2.23	3.97	3.15	12.41	22.42	4.73%	14.49%	18.22%	1.94%	155.79M
10	Auto & Truck Dealerships	159.23B	29.58	22.71	0.69	0.73	4.20	27.29	31.70	16.10%	42.82%	19.05%	0.50%	19.16M
11	Auto Manufacturers	1969.29B	39.42	30.51	3.66	1.69	3.12	7.26	100.78	20.94%	10.76%	28.52%	-1.36%	347.31M
12	Auto Parts	326.45B	25.00	17.42	2.21	1.16	3.69	16.91	23.79	4.84%	11.31%	8.56%	0.27%	189.96M
13	Banks - Diversified	3436.45B	14.60	12.02	1.17	1.92	1.59	1129.67	17.94	10.13%	12.43%	12.24%	0.50%	99.78M
14	Banks - Regional	1762.97B	14.64	11.05	0.99	1.77	1.40	1784.64	9.98	9.49%	14.84%	15.75%	0.57%	380.20M
15	Beverages - Brewers	193.67B	18.73	13.11	2.07	1.36	1.62	10.24	9.48	-8.92%	9.03%	4.02%	-0.76%	52.70M
16	Beverages - Non-Alcoholic	668.21B	25.85	19.09	3.43	2.99	6.76	20.37	46.23	7.78%	7.55%	8.26%	-1.01%	61.81M
17	Beverages - Wineries & Distilleries	82.48B	25.80	16.91	7.37	2.79	4.90	21.21	20.42	5.37%	3.50%	6.06%	-0.66%	7.76M
18	Biotechnology	939.94B	53.56	36.04	2.51	9.43	4.23	5.53	48.48	-11.39%	21.35%	45.85%	2.06%	785.11M
19	Broadcasting	15.59B	11.41	9.47	-	0.64	1.69	5.75	4.53	30.54%	-7.58%	32.61%	1.01%	23.72M
20	Building Materials	230.16B	27.77	23.11	2.84	2.95	2.91	27.17	40.69	22.42%	9.77%	6.63%	0.73%	29.79M
21	Building Products & Equipment	361.05B	27.95	20.78	2.74	2.44	5.36	52.70	27.05	13.82%	10.20%	5.64%	0.99%	36.52M
22	Business Equipment & Supplies	1.18B	14.31	12.10	-	0.53	0.73	2.31	7.26	1.31%	-	15.17%	1.91%	835.45K
