No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	5.43%	25.51%	35.72%	55.07%	88.43%	21.28%	1.73	57.63M	0.82	1.33%	47.28M
2	Aerospace & Defense	1.66%	2.57%	10.17%	29.28%	36.29%	34.48%	1.82	179.79M	0.92	1.01%	165.52M
3	Agricultural Inputs	-1.29%	-0.55%	-6.72%	12.81%	19.42%	17.72%	2.05	18.15M	1.37	-2.36%	24.80M
4	Airlines	-3.40%	-0.73%	19.43%	23.61%	43.21%	5.61%	1.73	133.93M	1.21	-1.91%	161.80M
5	Airports & Air Services	2.08%	-3.12%	20.64%	44.58%	59.26%	44.42%	2.72	42.74M	1.86	-0.60%	79.34M
6	Aluminum	6.87%	7.40%	18.23%	8.31%	17.67%	3.16%	1.89	8.98M	1.01	0.92%	9.06M
7	Apparel Manufacturing	-0.09%	7.29%	19.57%	13.77%	7.99%	-4.92%	2.06	50.57M	1.01	1.30%	51.09M
8	Apparel Retail	-1.21%	2.90%	9.85%	13.93%	6.31%	-2.39%	1.91	55.92M	1.01	1.18%	56.53M
9	Asset Management	1.87%	-0.88%	13.50%	18.84%	25.04%	4.38%	1.98	136.64M	1.05	0.10%	143.95M
10	Auto & Truck Dealerships	-2.67%	3.58%	11.01%	32.91%	46.07%	20.03%	2.01	20.63M	0.83	0.04%	17.11M
11	Auto Manufacturers	11.72%	15.62%	20.47%	40.26%	48.34%	2.75%	2.37	352.86M	1.15	2.74%	407.13M
12	Auto Parts	-0.25%	4.91%	17.82%	21.41%	29.87%	22.69%	1.86	147.66M	0.91	-0.57%	134.22M
13	Banks - Diversified	3.36%	4.79%	17.75%	28.24%	47.41%	32.78%	1.99	123.19M	0.69	0.68%	85.45M
14	Banks - Regional	0.39%	1.83%	10.70%	18.02%	22.74%	17.28%	1.85	377.20M	0.97	0.00%	366.59M
15	Beverages - Brewers	-0.11%	-3.03%	-13.97%	-8.34%	-13.98%	3.65%	1.83	41.19M	1.25	0.22%	51.58M
16	Beverages - Non-Alcoholic	-1.17%	-5.30%	-2.21%	-2.60%	-8.02%	2.46%	1.97	64.28M	1.24	-1.46%	79.92M
17	Beverages - Wineries & Distilleries	-4.38%	-8.57%	-2.31%	-8.83%	-26.14%	-21.69%	2.42	13.77M	1.02	-1.04%	13.99M
18	Biotechnology	-2.04%	0.05%	5.37%	-10.58%	-9.06%	-9.08%	1.50	747.58M	1.10	-0.80%	822.29M
19	Broadcasting	-0.27%	0.80%	23.38%	-20.53%	-7.96%	-12.27%	2.06	23.71M	0.89	-0.33%	21.21M
20	Building Materials	-0.52%	-0.97%	13.57%	13.82%	16.93%	10.48%	1.77	33.53M	0.70	-0.17%	23.45M
21	Building Products & Equipment	-3.17%	-3.09%	2.35%	11.79%	5.13%	4.92%	2.23	35.73M	0.89	-0.04%	31.92M
22	Business Equipment & Supplies	-1.31%	0.24%	-0.24%	-11.47%	-20.17%	-19.88%	1.00	971.07K	0.87	0.69%	841.63K
23	Capital Markets	3.79%	2.64%	21.89%	41.54%	67.41%	35.02%	2.12	530.41M	1.30	-0.06%	689.88M
24	Chemicals	-0.02%	6.47%	-9.40%	-22.64%	-46.63%	-32.72%	2.44	37.62M	0.88	-2.01%	33.02M
25	Coking Coal	7.12%	0.07%	41.54%	32.46%	15.68%	6.64%	1.81	8.70M	1.16	7.70%	10.05M
26	Communication Equipment	1.92%	5.00%	14.86%	21.02%	38.43%	16.95%	2.17	162.69M	0.98	1.07%	159.07M
27	Computer Hardware	7.33%	13.08%	46.89%	61.44%	62.12%	39.07%	1.76	226.47M	1.06	3.81%	240.96M
28	Confectioners	-0.67%	0.98%	-3.66%	-0.77%	-14.20%	5.03%	2.19	9.39M	0.84	-0.34%	7.88M
29	Conglomerates	-0.20%	-1.29%	1.37%	3.05%	10.21%	3.40%	2.09	15.67M	0.92	-0.11%	14.36M
30	Consulting Services	-1.61%	-0.64%	-6.47%	-1.11%	-13.40%	-5.15%	2.15	7.33M	0.79	-1.13%	5.83M
31	Consumer Electronics	-0.36%	1.89%	20.16%	11.40%	7.98%	-3.97%	2.06	84.68M	1.03	1.09%	86.85M
32	Copper	2.73%	11.53%	15.46%	19.03%	16.70%	23.94%	2.64	32.32M	0.84	2.88%	27.07M
33	Credit Services	-0.16%	0.65%	4.19%	11.52%	25.40%	9.91%	1.82	152.09M	0.86	0.48%	131.45M
34	Department Stores	0.97%	21.88%	54.86%	54.63%	35.87%	18.95%	3.61	21.04M	0.62	2.76%	12.94M
35	Diagnostics & Research	-2.57%	-2.32%	8.42%	-0.31%	-15.46%	-5.03%	1.76	63.26M	2.81	-0.16%	178.01M
36	Discount Stores	0.28%	0.22%	4.32%	15.03%	18.79%	9.58%	1.59	35.60M	0.94	-0.14%	33.39M
37	Drug Manufacturers - General	-0.46%	2.39%	-1.91%	-5.33%	-13.99%	2.34%	2.01	132.60M	0.99	-0.73%	130.99M
38	Drug Manufacturers - Specialty & Generic	-1.55%	1.58%	-0.19%	5.37%	-3.93%	1.01%	1.77	185.92M	0.79	-1.27%	146.95M
39	Education & Training Services	-0.03%	3.98%	6.27%	9.86%	26.58%	10.05%	1.69	38.45M	1.32	-2.33%	50.94M
40	Electrical Equipment & Parts	8.38%	7.37%	34.06%	50.56%	51.85%	24.58%	1.84	141.88M	0.88	1.50%	125.06M
41	Electronic Components	4.67%	8.73%	33.80%	67.07%	78.02%	57.77%	1.78	49.79M	1.03	0.87%	51.35M
42	Electronic Gaming & Multimedia	4.95%	9.63%	22.28%	56.84%	87.17%	63.75%	1.74	26.02M	0.62	1.36%	16.24M
43	Electronics & Computer Distribution	0.21%	-0.34%	10.32%	11.50%	5.33%	9.24%	2.38	3.21M	0.72	-0.11%	2.31M
44	Engineering & Construction	2.96%	4.01%	17.92%	48.60%	45.24%	30.85%	1.73	35.50M	0.89	0.71%	31.67M
45	Entertainment	-0.65%	1.56%	4.60%	28.69%	59.33%	25.47%	1.81	173.11M	1.11	0.73%	192.22M
46	Farm & Heavy Construction Machinery	0.87%	1.32%	7.03%	11.39%	21.78%	11.99%	2.22	31.86M	0.72	0.32%	22.78M
47	Farm Products	-3.08%	-0.79%	7.45%	12.31%	-3.66%	7.03%	2.49	17.61M	0.69	-1.66%	12.16M
48	Financial Conglomerates	1.07%	2.64%	21.19%	25.08%	19.16%	24.58%	1.91	3.18M	0.72	0.10%	2.28M
49	Financial Data & Stock Exchanges	-0.13%	-3.27%	5.22%	11.67%	13.59%	9.90%	2.01	27.75M	0.91	-0.70%	25.21M
50	Food Distribution	-0.95%	0.88%	10.05%	16.92%	20.26%	11.43%	1.81	10.38M	0.80	-1.35%	8.32M
51	Footwear & Accessories	-2.12%	-1.75%	11.96%	1.41%	-9.60%	-14.57%	2.16	33.47M	0.85	-0.03%	28.45M
52	Furnishings, Fixtures & Appliances	-1.56%	2.08%	27.82%	26.48%	14.75%	14.42%	1.89	24.51M	0.85	0.64%	20.77M
53	Gambling	-3.35%	-2.71%	11.79%	16.39%	16.76%	10.68%	1.37	61.43M	0.70	-1.08%	43.12M
54	Gold	3.87%	20.16%	30.73%	61.78%	86.78%	108.31%	1.84	211.83M	1.38	1.19%	293.06M
55	Grocery Stores	-2.72%	-4.05%	-3.71%	-1.13%	19.50%	3.50%	2.18	27.57M	0.77	-2.13%	21.17M
56	Health Information Services	-0.92%	5.10%	5.36%	18.12%	26.34%	25.37%	1.80	57.36M	0.75	0.10%	43.27M
57	Healthcare Plans	4.21%	16.04%	0.73%	-20.68%	-32.49%	-17.19%	1.90	90.22M	0.66	-1.49%	59.63M
58	Home Improvement Retail	0.43%	6.15%	20.76%	20.26%	12.33%	8.70%	1.83	9.19M	1.05	0.06%	9.62M
59	Household & Personal Products	-1.76%	0.00%	-2.65%	-4.28%	-10.12%	-3.97%	2.07	115.11M	0.85	-0.86%	98.16M
60	Industrial Distribution	-4.01%	-2.02%	5.56%	17.25%	16.76%	12.13%	2.35	26.29M	1.00	0.89%	26.29M
61	Information Technology Services	-0.57%	3.38%	-9.19%	-10.30%	-8.31%	-13.20%	2.14	289.81M	0.91	0.08%	265.06M
62	Insurance - Diversified	-0.44%	2.29%	0.45%	-4.10%	8.05%	8.02%	2.41	18.76M	0.87	-0.53%	16.35M
63	Insurance - Life	2.13%	2.98%	6.65%	5.79%	13.64%	7.31%	2.28	24.14M	0.79	-0.20%	18.99M
