
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	234.41B	45.54	23.68	1.16	3.38	9.58	18.82	27.34	63.66%	39.28%	29.66%	-0.77%	36.68M
2	Aerospace & Defense	1548.84B	42.94	31.24	2.83	3.08	7.25	24.33	52.38	20.37%	15.19%	3.68%	-0.80%	113.40M
3	Agricultural Inputs	121.73B	22.01	14.90	1.81	1.54	1.51	16.50	17.37	3.12%	12.18%	4.38%	-0.92%	13.31M
4	Airlines	172.25B	13.05	9.99	0.71	0.62	2.77	3.48	14.84	-5.86%	18.41%	6.16%	-0.09%	102.80M
5	Airports & Air Services	42.11B	31.02	20.75	2.56	5.36	7.07	11.83	33.02	20.85%	12.10%	12.97%	-1.76%	47.26M
6	Aluminum	13.70B	11.39	10.52	0.29	0.52	1.63	7.35	23.54	-5.07%	39.95%	4.11%	0.36%	5.65M
7	Apparel Manufacturing	67.05B	25.13	18.81	2.03	1.01	3.77	8.64	18.78	11.34%	12.39%	1.69%	0.22%	37.33M
8	Apparel Retail	283.68B	23.56	20.96	2.87	1.65	7.50	17.05	29.96	11.38%	8.20%	7.34%	-0.77%	71.80M
9	Asset Management	1384.24B	31.31	18.63	2.20	3.85	3.05	12.02	21.72	4.94%	14.22%	18.02%	-0.21%	138.77M
10	Auto & Truck Dealerships	158.77B	29.47	22.63	0.69	0.73	4.18	27.20	31.60	16.22%	42.62%	19.01%	-1.23%	16.29M
11	Auto Manufacturers	1685.35B	34.01	26.12	3.58	1.45	2.67	6.22	86.25	21.41%	9.51%	27.83%	-2.65%	400.55M
12	Auto Parts	320.12B	23.79	17.04	2.14	1.14	3.65	16.89	23.24	6.15%	11.10%	8.57%	-0.38%	88.90M
13	Banks - Diversified	3310.78B	14.06	11.63	1.15	1.85	1.53	1088.36	17.28	10.05%	12.22%	12.23%	0.01%	90.29M
14	Banks - Regional	1921.08B	15.98	11.16	1.10	1.92	1.53	1944.69	10.86	7.73%	14.57%	16.24%	-0.30%	348.23M
15	Beverages - Brewers	204.46B	19.77	13.75	2.25	1.44	1.71	10.81	10.01	-9.85%	8.79%	3.92%	0.30%	32.97M
16	Beverages - Non-Alcoholic	692.46B	26.79	19.79	3.51	3.10	7.01	21.15	47.91	7.87%	7.63%	8.38%	0.88%	67.62M
17	Beverages - Wineries & Distilleries	92.31B	28.88	18.94	7.92	3.12	5.46	23.70	22.85	5.48%	3.65%	6.08%	0.37%	14.03M
18	Biotechnology	900.21B	51.29	34.35	2.54	9.04	4.05	5.28	46.46	-10.23%	20.22%	45.90%	0.02%	467.60M
19	Broadcasting	15.36B	11.25	9.26	-	0.63	1.67	5.67	4.46	30.73%	-7.61%	28.63%	0.14%	25.26M
20	Building Materials	229.68B	27.71	22.99	2.80	2.94	2.90	27.11	40.61	22.34%	9.89%	6.62%	-0.04%	32.01M
21	Building Products & Equipment	371.63B	28.70	21.16	2.74	2.52	5.49	54.26	27.84	13.41%	10.49%	5.65%	-1.45%	31.50M
