No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	285.75B	55.82	28.49	1.25	4.12	11.83	23.33	33.42	68.75%	44.64%	31.15%	-0.09%	70.78M
2	Aerospace & Defense	1588.98B	44.15	32.11	2.86	3.16	7.34	24.69	53.67	22.77%	15.46%	3.53%	0.48%	194.43M
3	Agricultural Inputs	106.50B	23.18	14.81	1.94	1.57	1.57	15.13	15.21	3.22%	11.92%	4.37%	-0.58%	12.12M
4	Airlines	161.89B	12.26	9.33	0.66	0.59	2.63	3.31	13.94	-6.20%	18.65%	6.12%	-1.17%	144.00M
5	Airports & Air Services	44.26B	32.61	21.87	2.51	5.63	7.43	12.44	34.71	19.28%	12.99%	13.29%	-0.07%	66.73M
6	Aluminum	14.36B	11.93	10.55	0.26	0.55	1.71	7.70	24.67	-5.05%	45.06%	4.05%	-0.16%	7.10M
7	Apparel Manufacturing	68.16B	25.70	19.14	1.99	1.03	3.75	8.77	19.34	11.36%	12.89%	1.69%	-0.81%	44.94M
8	Apparel Retail	278.72B	23.29	21.27	2.97	1.70	7.71	16.97	30.00	11.73%	7.83%	7.17%	-0.39%	51.45M
9	Asset Management	1427.80B	28.25	19.14	1.95	3.97	3.14	12.44	22.42	4.70%	14.46%	18.23%	-0.13%	186.10M
10	Auto & Truck Dealerships	160.51B	29.82	22.89	0.69	0.73	4.23	27.51	31.95	16.17%	43.48%	19.30%	-0.41%	20.28M
11	Auto Manufacturers	2021.00B	40.45	31.31	3.74	1.74	3.20	7.46	103.43	20.95%	10.83%	28.59%	1.43%	433.51M
12	Auto Parts	324.98B	24.89	17.35	2.21	1.16	3.67	16.84	23.68	4.53%	11.27%	8.60%	-0.41%	172.34M
13	Banks - Diversified	3456.61B	14.71	12.10	1.18	1.93	1.60	1136.29	18.04	10.11%	12.48%	12.22%	-0.06%	86.19M
14	Banks - Regional	1737.32B	14.42	10.89	0.97	1.74	1.38	1758.68	9.83	9.48%	14.90%	15.80%	-0.56%	350.84M
15	Beverages - Brewers	193.77B	18.74	13.11	2.07	1.36	1.63	10.25	9.49	-8.98%	9.05%	4.05%	-0.96%	38.37M
