
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	212.03B	41.18	21.48	1.08	3.05	8.67	17.03	24.73	62.01%	38.14%	29.09%	1.01%	38.14M
2	Aerospace & Defense	1521.76B	42.24	30.71	2.80	3.02	7.13	23.93	51.51	20.92%	15.10%	3.60%	0.31%	103.62M
3	Agricultural Inputs	120.37B	21.76	14.73	1.78	1.52	1.50	16.32	17.18	3.12%	12.21%	4.38%	0.56%	12.53M
4	Airlines	163.64B	12.39	9.51	0.67	0.59	2.63	3.31	14.09	-5.34%	18.57%	6.23%	-1.18%	100.39M
5	Airports & Air Services	42.46B	31.26	20.93	2.50	5.45	7.17	12.18	33.73	20.52%	12.49%	13.18%	0.31%	34.05M
6	Aluminum	12.90B	10.73	9.91	0.27	0.49	1.53	6.92	22.17	-5.07%	40.31%	4.14%	0.43%	4.31M
7	Apparel Manufacturing	63.56B	24.55	17.76	1.97	0.96	3.56	8.25	17.77	11.55%	12.48%	1.74%	-0.28%	49.41M
8	Apparel Retail	282.33B	23.56	20.88	2.93	1.65	7.51	17.86	29.66	11.36%	8.05%	7.33%	-0.33%	54.33M
9	Asset Management	1354.08B	30.59	18.06	2.16	3.76	3.19	11.77	21.53	4.99%	14.19%	18.12%	-0.29%	91.03M
10	Auto & Truck Dealerships	148.56B	27.57	21.18	0.66	0.68	3.92	25.45	29.57	16.43%	42.04%	18.70%	0.12%	13.30M
11	Auto Manufacturers	1637.39B	33.09	25.37	3.39	1.40	2.59	6.04	83.80	21.26%	9.77%	27.79%	-0.86%	417.19M
12	Auto Parts	312.53B	23.23	16.65	2.09	1.11	3.56	16.48	22.68	6.11%	11.11%	8.59%	-0.70%	86.75M
13	Banks - Diversified	3220.19B	13.73	11.36	1.14	1.79	1.49	1058.58	14.70	10.27%	12.08%	12.23%	-0.22%	80.09M
14	Banks - Regional	1700.48B	14.14	10.70	0.97	1.70	1.36	1311.64	9.82	7.81%	14.59%	15.52%	-0.11%	295.54M
15	Beverages - Brewers	205.12B	19.84	13.78	2.25	1.44	1.72	10.85	10.04	-9.91%	8.83%	3.92%	-0.03%	21.71M
16	Beverages - Non-Alcoholic	711.47B	27.52	20.42	3.75	3.19	7.20	21.73	49.23	7.77%	7.34%	8.31%	-0.43%	39.19M
17	Beverages - Wineries & Distilleries	94.00B	29.18	19.28	7.89	3.18	5.56	24.47	25.18	5.44%	3.70%	6.01%	-0.51%	9.78M
18	Biotechnology	905.08B	51.47	34.58	2.51	9.03	4.07	5.30	46.67	-10.00%	20.54%	46.02%	1.72%	1.14B
19	Broadcasting	15.28B	11.19	9.15	-	0.63	1.66	5.64	4.44	30.67%	-7.59%	28.02%	1.80%	22.23M
20	Building Materials	224.55B	27.10	22.31	2.54	2.88	2.84	26.51	39.70	22.21%	10.68%	6.60%	0.63%	48.21M
21	Building Products & Equipment	369.47B	28.50	21.04	2.71	2.50	5.46	53.80	27.64	13.29%	10.50%	5.67%	-1.14%	32.04M
22	Business Equipment & Supplies	1.13B	13.76	11.64	-	0.51	0.70	2.22	6.99	1.31%	-	15.13%	0.58%	1.19M
23	Capital Markets	1035.72B	21.61	17.95	1.24	1.87	2.92	4.15	5.73	13.48%	17.36%	30.68%	-0.24%	367.91M
24	Chemicals	34.23B	61.22	22.67	-	0.36	0.95	4.21	16.32	17.74%	-2.84%	2.20%	-0.97%	24.64M
25	Coking Coal	6.94B	61.19	12.01	2.41	1.14	1.49	6.30	20.49	-7.78%	25.44%	7.83%	0.19%	9.68M
26	Communication Equipment	519.86B	28.91	17.23	3.30	2.92	4.21	10.30	21.54	9.15%	8.77%	3.27%	0.22%	113.66M
27	Computer Hardware	428.86B	33.54	20.62	2.04	1.99	10.31	11.71	27.18	15.36%	16.40%	12.96%	-0.13%	132.85M
28	Confectioners	121.02B	25.70	22.91	-	2.46	4.03	45.31	26.20	7.96%	-0.08%	7.05%	-0.56%	6.84M
29	Conglomerates	246.40B	23.24	18.59	3.06	2.02	6.35	11.10	31.20	0.81%	7.59%	-1.03%	0.07%	13.40M
30	Consulting Services	95.37B	31.00	24.87	2.72	3.19	8.91	43.79	28.01	18.00%	11.38%	6.58%	-0.15%	3.73M
31	Consumer Electronics	3510.39B	33.32	27.71	4.01	6.82	27.21	51.48	30.47	14.99%	8.32%	8.20%	-0.55%	39.53M
32	Copper	145.11B	24.43	17.37	1.60	3.54	4.38	14.84	26.26	17.49%	15.27%	10.36%	0.54%	16.30M
33	Credit Services	1748.07B	27.90	20.85	1.90	5.28	6.11	11.50	18.11	10.48%	14.71%	10.44%	-0.14%	110.96M
34	Department Stores	13.05B	10.66	13.93	-	0.29	1.28	5.68	11.48	30.24%	-11.45%	-0.52%	1.24%	8.96M
35	Diagnostics & Research	665.45B	34.21	22.60	3.48	4.08	3.75	26.47	27.98	10.06%	9.82%	9.96%	-2.08%	37.87M
36	Discount Stores	1332.63B	41.13	33.45	4.33	1.15	9.32	42.65	48.04	9.48%	9.49%	7.15%	-3.59%	74.16M
37	Drug Manufacturers - General	3142.82B	23.06	13.55	1.20	4.46	6.10	25.47	18.95	5.64%	19.19%	9.18%	0.33%	111.12M
38	Drug Manufacturers - Specialty & Generic	308.85B	30.70	14.19	1.97	2.30	2.21	12.07	15.77	11.39%	15.57%	8.26%	0.41%	161.29M
39	Education & Training Services	56.36B	22.83	17.35	1.87	1.64	2.62	3.61	18.44	18.08%	12.22%	9.24%	1.14%	18.56M
40	Electrical Equipment & Parts	135.43B	36.58	23.42	1.52	3.30	5.50	19.31	33.08	23.21%	24.07%	10.59%	-0.19%	71.38M
41	Electronic Components	369.26B	40.65	23.84	2.05	2.48	5.64	24.20	30.88	16.24%	19.82%	7.79%	0.08%	31.94M
42	Electronic Gaming & Multimedia	252.55B	38.48	20.57	1.91	6.76	7.45	8.40	26.37	-23.86%	20.19%	22.27%	-0.63%	45.08M
43	Electronics & Computer Distribution	29.81B	17.68	10.18	1.42	0.24	1.28	14.71	14.42	-0.16%	12.41%	8.86%	-0.80%	2.41M
44	Engineering & Construction	325.49B	21.16	26.58	1.19	1.65	5.30	19.51	26.64	24.65%	17.82%	11.02%	0.66%	20.63M
45	Entertainment	1138.39B	43.44	33.91	2.15	3.12	4.45	18.37	29.50	19.34%	20.25%	11.58%	-0.29%	147.02M
46	Farm & Heavy Construction Machinery	426.98B	21.66	18.94	10.20	2.13	4.92	14.35	22.23	16.21%	2.12%	4.28%	-0.86%	18.74M
47	Farm Products	79.15B	15.00	13.43	2.55	0.38	1.27	4.66	11.66	13.97%	5.88%	7.61%	0.66%	12.70M
48	Financial Conglomerates	49.84B	15.68	3.07	1.13	1.51	1.35	4.36	31.86	5.07%	13.92%	15.06%	-0.47%	2.80M
49	Financial Data & Stock Exchanges	708.92B	35.63	27.17	3.84	9.33	5.38	30.62	27.39	8.94%	9.27%	17.18%	-0.97%	17.33M
50	Food Distribution	80.02B	27.57	16.21	1.81	0.32	4.83	41.65	20.24	35.05%	15.24%	11.00%	-1.46%	7.75M
51	Footwear & Accessories	171.30B	34.33	27.34	3.15	2.15	6.71	11.87	28.56	10.58%	10.91%	11.41%	-0.01%	23.54M
52	Furnishings, Fixtures & Appliances	64.36B	27.74	15.60	2.33	0.89	2.40	16.04	21.80	3.91%	11.89%	7.24%	-0.98%	18.70M
53	Gambling	126.34B	81.24	27.48	2.68	3.73	7.49	16.18	33.52	-20.96%	30.30%	43.19%	0.20%	40.19M
54	Gold	458.46B	21.29	13.24	0.81	5.03	2.81	17.52	25.45	10.72%	26.33%	13.17%	2.00%	170.80M
55	Grocery Stores	79.77B	19.46	14.38	1.64	0.31	4.28	10.35	27.69	14.66%	11.90%	5.01%	-0.93%	17.06M
56	Health Information Services	121.97B	92.95	38.77	4.83	3.49	4.79	9.26	32.45	13.46%	19.23%	23.07%	0.60%	50.45M
57	Healthcare Plans	584.75B	14.51	12.72	11.02	0.36	1.90	40.27	13.08	-0.61%	1.32%	11.16%	0.58%	57.80M
58	Home Improvement Retail	548.38B	25.27	22.94	4.44	2.15	51.02	65.37	24.92	10.25%	5.69%	6.59%	-0.90%	7.65M
59	Household & Personal Products	782.92B	26.17	20.30	3.83	3.02	7.28	29.71	24.96	3.73%	6.84%	3.45%	-0.50%	137.92M
60	Industrial Distribution	233.17B	30.68	24.31	3.55	1.77	6.70	50.57	30.74	18.05%	8.65%	8.90%	-0.80%	13.90M
61	Information Technology Services	876.54B	25.79	16.88	2.91	2.24	4.28	14.41	17.00	4.74%	8.86%	4.92%	-0.38%	171.91M
62	Insurance - Diversified	2254.00B	20.00	25.23	12.86	2.62	1.90	3.27	57.56	4.72%	1.56%	8.19%	0.10%	20.96M
63	Insurance - Life	295.38B	15.21	8.75	1.81	1.08	1.53	3946.84	4.77	7.60%	8.39%	-4.65%	0.17%	16.94M
64	Insurance - Property & Casualty	629.76B	12.81	12.72	1.57	1.43	2.15	428.06	7.49	13.40%	8.19%	10.60%	-0.74%	22.00M
65	Insurance - Reinsurance	43.99B	11.54	6.73	0.81	0.76	1.06	-	3.01	4.32%	14.33%	16.02%	0.40%	2.86M
66	Insurance - Specialty	80.09B	14.08	11.10	0.92	1.99	1.56	464.04	6.81	4.85%	15.35%	8.68%	0.16%	7.46M
67	Insurance Brokers	366.50B	35.11	21.38	3.17	4.42	5.13	12.19	28.08	16.23%	11.07%	9.33%	0.26%	31.88M
68	Integrated Freight & Logistics	198.83B	16.35	13.73	2.66	0.78	3.15	10.57	21.59	11.09%	6.14%	5.32%	-0.58%	19.63M
69	Internet Content & Information	7061.45B	40.54	35.95	2.74	6.93	11.84	23.24	36.73	26.98%	14.81%	17.46%	-0.40%	158.12M
70	Internet Retail	3329.12B	29.55	23.83	1.17	2.76	5.61	10.88	91.20	32.56%	25.31%	24.10%	-0.51%	119.88M
71	Leisure	77.98B	41.28	21.48	1.79	1.87	4.15	14.60	27.32	-17.82%	23.05%	10.38%	-0.12%	32.84M
72	Lodging	195.22B	31.75	24.70	2.64	3.29	42.92	34.33	28.93	17.13%	12.00%	4.58%	-0.17%	12.75M
73	Lumber & Wood Production	22.78B	24.59	18.47	7.73	1.07	1.62	10.37	43.49	28.93%	3.18%	11.03%	0.22%	1.21M
74	Luxury Goods	28.85B	150.92	15.33	15.33	1.36	8.23	14.33	17.71	-94.33%	9.84%	5.98%	-0.16%	11.92M
75	Marine Shipping	32.77B	5.47	7.86	0.64	0.96	0.86	4.78	5.33	31.14%	8.59%	17.28%	1.14%	21.47M
76	Medical Care Facilities	219.62B	18.04	13.84	1.27	0.94	4.20	17.09	12.78	11.19%	14.17%	7.33%	-0.87%	37.15M
77	Medical Devices	977.29B	31.11	22.74	2.52	4.18	4.02	20.52	32.83	9.01%	12.32%	8.62%	-0.99%	237.51M
78	Medical Distribution	192.22B	27.70	16.15	2.27	0.20	34.00	20.62	20.45	26.93%	12.18%	9.14%	-0.05%	8.88M
79	Medical Instruments & Supplies	467.35B	44.66	23.01	3.99	4.07	3.39	22.32	35.88	10.88%	11.18%	9.43%	-1.62%	54.31M
80	Metal Fabrication	47.37B	25.13	17.76	1.61	2.06	3.94	18.98	24.62	72.75%	15.56%	4.34%	-0.03%	5.80M
81	Mortgage Finance	69.19B	58.23	29.22	1.18	3.64	2.66	7.77	756.29	14.17%	49.51%	1.22%	-1.46%	25.88M
82	Oil & Gas Drilling	17.21B	34.45	17.57	61.20	0.77	0.66	6.22	13.06	18.60%	0.56%	9.36%	0.62%	32.52M
83	Oil & Gas E&P	596.96B	12.98	11.49	1.01	2.07	1.46	23.52	13.64	18.30%	12.80%	11.98%	0.55%	111.39M
84	Oil & Gas Equipment & Services	204.33B	13.30	13.15	1.44	1.26	1.93	9.93	12.40	38.87%	9.26%	4.45%	1.30%	61.39M
85	Oil & Gas Integrated	1574.91B	14.34	11.43	1.86	0.92	1.46	8.53	9.91	19.57%	7.73%	3.96%	0.90%	76.10M
86	Oil & Gas Midstream	812.97B	17.57	15.67	2.42	1.74	2.95	39.85	16.59	9.98%	7.27%	7.39%	0.57%	114.46M
87	Oil & Gas Refining & Marketing	184.36B	33.46	13.07	1.81	0.32	1.89	9.64	18.65	6.12%	18.45%	5.13%	-0.45%	27.76M
88	Other Industrial Metals & Mining	304.21B	13.64	11.74	216.14	1.94	1.93	9.06	17.71	-4.26%	0.06%	3.60%	1.43%	106.51M
89	Other Precious Metals & Mining	26.42B	32.92	14.94	0.82	2.86	2.22	10.40	60.72	-1.72%	39.95%	13.45%	2.28%	28.67M
90	Packaged Foods	254.95B	19.44	12.85	5.79	1.10	1.82	14.44	14.38	5.04%	3.36%	4.50%	0.45%	66.28M
91	Packaging & Containers	163.14B	29.56	12.90	1.16	1.02	2.06	21.52	30.19	-1.36%	25.50%	3.97%	1.83%	52.88M
92	Paper & Paper Products	14.52B	9.13	7.67	-	0.84	1.29	3.37	11.20	-14.39%	-3.06%	4.94%	-0.55%	3.01M
93	Personal Services	59.19B	5.08	23.12	0.41	3.18	4.28	19.07	24.37	13.31%	12.49%	8.17%	-0.70%	9.08M
94	Pharmaceutical Retailers	10.92B	-	7.97	-	0.07	1.46	11.73	18.43	43.33%	-16.53%	3.24%	0.12%	15.22M
95	Pollution & Treatment Controls	47.41B	35.18	28.35	2.97	4.78	7.44	20.77	32.22	-21.82%	11.84%	4.07%	-0.58%	4.97M
96	Publishing	23.21B	22.10	18.31	1.99	1.70	2.63	17.02	11.33	16.15%	11.12%	2.38%	-0.13%	6.10M
97	Railroads	427.02B	20.45	17.85	2.17	4.68	4.01	70.29	26.76	5.81%	9.41%	4.19%	-0.42%	20.76M
98	Real Estate - Development	8.42B	15.44	15.43	-	1.05	0.99	6.99	19.87	4.82%	-2.89%	18.56%	-0.70%	838.48K
99	Real Estate - Diversified	7.30B	20.60	26.42	-	3.27	1.60	3.75	19.60	20.30%	-2.94%	13.51%	-0.97%	392.65K
100	Real Estate Services	163.81B	51.03	24.82	2.31	1.22	3.23	8.35	35.92	1.86%	22.11%	11.17%	-0.22%	227.70M
101	Recreational Vehicles	24.97B	37.65	18.75	9.53	0.63	1.71	6.88	8.62	-0.07%	3.95%	3.97%	-1.23%	5.90M
102	REIT - Diversified	61.21B	17.55	15.67	4.72	6.46	1.29	52.23	13.77	10.01%	3.72%	22.35%	0.02%	17.39M
