
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	215.64B	41.90	21.84	1.10	3.10	8.80	17.27	25.13	62.97%	37.95%	29.38%	-2.87%	48.81M
2	Aerospace & Defense	1533.50B	42.56	30.95	2.82	3.05	7.19	24.14	51.91	20.44%	15.10%	3.58%	-0.22%	95.08M
3	Agricultural Inputs	117.83B	21.30	14.45	1.75	1.49	1.47	15.97	16.81	3.11%	12.18%	4.38%	-1.18%	4.54M
4	Airlines	164.84B	12.49	9.58	0.70	0.60	2.65	3.33	14.20	-5.06%	17.72%	6.25%	-1.15%	46.62M
5	Airports & Air Services	43.74B	32.20	21.55	2.68	5.62	7.39	12.55	34.75	19.30%	12.02%	13.36%	-1.47%	12.34M
6	Aluminum	13.29B	11.05	10.21	0.28	0.51	1.58	7.13	22.84	-5.07%	39.92%	4.11%	-2.75%	2.28M
7	Apparel Manufacturing	63.87B	24.75	17.80	1.96	0.96	3.60	8.29	17.89	11.66%	12.63%	1.73%	-1.41%	31.18M
8	Apparel Retail	279.14B	23.60	20.70	3.04	1.64	7.43	18.11	30.16	11.37%	7.77%	7.31%	-1.09%	18.50M
9	Asset Management	1396.08B	31.38	18.62	2.20	3.88	3.27	12.14	22.21	4.90%	14.25%	18.36%	-0.56%	43.72M
10	Auto & Truck Dealerships	150.47B	27.93	21.41	0.67	0.69	3.93	24.34	29.78	16.44%	41.44%	18.64%	-1.60%	4.11M
11	Auto Manufacturers	1663.75B	33.62	26.00	3.43	1.43	2.63	6.15	85.15	21.65%	9.81%	28.01%	-1.60%	154.12M
12	Auto Parts	311.77B	23.18	16.59	2.08	1.11	3.55	16.48	22.63	6.11%	11.17%	8.59%	-0.98%	66.04M
13	Banks - Diversified	3234.80B	13.79	11.42	1.15	1.80	1.49	1063.38	14.77	10.26%	12.02%	12.22%	0.77%	32.95M
14	Banks - Regional	1701.76B	14.21	10.71	0.99	1.67	1.36	1578.87	9.55	7.74%	14.42%	15.20%	-0.38%	108.34M
15	Beverages - Brewers	201.14B	19.45	13.48	2.22	1.41	1.70	10.64	9.85	-10.01%	8.77%	3.92%	-1.14%	8.28M
16	Beverages - Non-Alcoholic	704.08B	27.24	20.20	3.76	3.15	7.12	21.50	48.72	7.64%	7.24%	8.18%	-0.66%	10.92M
17	Beverages - Wineries & Distilleries	91.25B	28.32	18.69	7.76	3.08	5.50	23.78	24.44	5.39%	3.65%	5.98%	-0.95%	3.53M
18	Biotechnology	886.36B	46.27	34.15	2.48	8.87	3.94	5.22	46.21	-10.66%	18.62%	46.25%	-0.46%	228.40M
19	Broadcasting	15.09B	11.05	9.03	-	0.62	1.62	5.53	4.38	30.77%	-7.72%	28.91%	-0.91%	8.84M
20	Building Materials	235.36B	27.88	22.84	2.52	3.01	2.98	33.83	41.86	21.91%	11.07%	6.68%	-0.83%	7.74M
21	Building Products & Equipment	377.50B	29.13	21.50	2.78	2.56	5.58	54.99	28.25	13.31%	10.46%	5.70%	-1.27%	9.05M
22	Business Equipment & Supplies	1.15B	13.91	11.76	-	0.52	0.71	2.25	7.06	1.31%	-	15.60%	-1.57%	285.06K
23	Capital Markets	1056.29B	22.06	18.31	1.29	1.91	2.99	4.26	5.85	13.52%	17.15%	30.58%	0.11%	397.20M
24	Chemicals	33.58B	60.06	21.62	-	0.36	0.93	4.14	16.02	17.66%	-2.95%	2.14%	-0.19%	12.16M
25	Coking Coal	7.70B	67.89	13.51	2.58	1.27	1.66	7.00	22.74	-8.07%	26.35%	8.09%	-3.34%	3.39M
26	Communication Equipment	530.23B	29.49	17.56	3.03	2.98	4.30	10.51	21.96	8.40%	9.72%	3.23%	-2.53%	91.34M
27	Computer Hardware	449.09B	35.16	22.77	2.25	2.09	10.90	12.44	28.78	15.21%	15.62%	12.97%	-1.00%	91.51M
28	Confectioners	119.12B	25.30	22.54	-	2.42	3.97	44.60	25.79	8.01%	-0.09%	7.05%	-0.93%	1.81M
29	Conglomerates	248.96B	23.49	18.51	3.08	2.04	6.42	11.23	31.52	0.82%	7.62%	-1.06%	-0.95%	5.49M
30	Consulting Services	95.29B	31.00	24.80	2.71	3.18	8.91	43.75	27.99	18.00%	11.43%	6.61%	-0.37%	99.83M
31	Consumer Electronics	3606.91B	34.24	28.51	4.13	7.01	28.08	53.34	31.10	14.99%	8.29%	8.21%	-0.86%	29.13M
32	Copper	147.08B	24.76	17.68	1.64	3.59	4.44	15.04	26.62	17.45%	15.07%	10.34%	-2.42%	10.18M
33	Credit Services	1738.67B	27.78	20.72	1.88	5.25	6.09	11.43	18.01	10.47%	14.75%	10.43%	-0.22%	50.37M
34	Department Stores	13.27B	12.29	15.77	-	0.29	1.38	5.91	13.45	30.71%	-11.88%	-0.49%	2.01%	5.51M
35	Diagnostics & Research	669.36B	34.41	22.75	3.51	4.10	3.78	26.61	28.14	10.18%	9.80%	9.90%	-0.71%	13.14M
36	Discount Stores	1367.21B	41.86	34.35	4.46	1.18	9.59	45.87	48.26	9.45%	9.38%	7.13%	0.09%	7.73M
37	Drug Manufacturers - General	3035.12B	22.27	13.08	1.15	4.31	5.89	24.60	18.30	5.35%	19.31%	9.10%	0.53%	45.63M
38	Drug Manufacturers - Specialty & Generic	302.13B	29.92	13.87	1.88	2.25	2.16	11.86	15.56	11.36%	15.90%	8.27%	-0.18%	233.35M
39	Education & Training Services	55.28B	22.45	17.23	1.84	1.61	2.58	3.52	17.51	17.41%	12.17%	9.17%	-0.78%	9.55M
