No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	212.88B	43.26	22.39	1.39	3.05	8.87	15.65	24.01	58.83%	31.06%	28.97%	-2.37%	53.47M
2	Aerospace & Defense	1526.15B	42.57	30.78	2.86	3.04	7.30	24.93	51.56	20.75%	14.89%	3.67%	-0.36%	135.52M
3	Agricultural Inputs	121.46B	31.34	15.32	2.70	1.56	1.58	19.83	19.15	3.43%	11.59%	4.40%	-1.42%	17.40M
4	Airlines	149.42B	11.28	8.68	0.63	0.54	2.39	3.00	12.85	-5.21%	18.03%	6.24%	-2.98%	137.48M
5	Airports & Air Services	41.01B	30.34	20.52	2.43	5.29	6.99	12.15	32.58	19.15%	12.50%	13.37%	0.47%	47.91M
6	Aluminum	12.35B	10.27	9.56	0.27	0.47	1.47	6.61	21.21	-5.07%	38.72%	4.16%	-4.63%	10.79M
7	Apparel Manufacturing	61.08B	26.72	16.89	2.08	0.92	3.44	8.73	15.25	11.62%	12.85%	1.87%	-2.00%	50.01M
8	Apparel Retail	263.78B	22.33	19.56	2.87	1.55	7.03	17.13	28.58	11.47%	7.78%	7.43%	0.14%	56.69M
9	Asset Management	1352.12B	26.07	18.00	1.83	3.72	3.21	12.04	21.44	4.98%	14.23%	18.21%	-2.17%	159.62M
10	Auto & Truck Dealerships	150.86B	28.61	21.69	0.67	0.69	3.96	24.21	30.76	16.31%	42.61%	19.51%	-2.93%	27.21M
11	Auto Manufacturers	1539.51B	29.00	23.62	2.90	1.34	2.47	5.57	86.71	21.71%	10.00%	28.43%	-1.41%	433.56M
12	Auto Parts	295.92B	22.49	15.63	1.98	1.05	3.41	16.08	21.31	5.72%	11.36%	8.50%	0.06%	126.34M
13	Banks - Diversified	3112.60B	13.31	10.93	1.12	1.71	1.44	1001.96	16.23	10.09%	11.85%	12.23%	-1.72%	150.13M
14	Banks - Regional	1652.91B	13.79	10.41	0.96	1.73	1.34	1672.22	11.39	8.12%	14.36%	15.57%	-1.20%	428.40M
15	Beverages - Brewers	196.09B	18.81	12.88	2.05	1.37	1.65	10.16	9.48	-10.10%	9.16%	3.98%	-0.77%	53.20M
16	Beverages - Non-Alcoholic	681.11B	26.60	19.51	3.69	3.09	7.04	21.07	47.14	7.45%	7.21%	7.96%	1.04%	71.17M
17	Beverages - Wineries & Distilleries	82.58B	18.53	17.88	-	2.80	4.99	26.49	22.03	0.94%	-0.09%	4.23%	-0.49%	12.76M
