
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	218.66B	44.43	23.04	1.43	3.14	9.12	16.10	24.67	58.96%	31.09%	29.06%	2.73%	19.41M
2	Aerospace & Defense	1543.65B	43.04	31.13	2.88	3.07	7.38	25.21	52.12	20.89%	14.94%	3.67%	1.05%	71.67M
3	Agricultural Inputs	122.32B	31.56	15.43	2.72	1.57	1.60	19.97	19.85	3.56%	11.59%	4.41%	0.73%	5.50M
4	Airlines	151.91B	11.47	8.86	0.64	0.55	2.43	3.05	13.05	-5.11%	18.01%	6.26%	1.67%	61.69M
5	Airports & Air Services	43.96B	32.52	21.64	2.60	5.67	7.49	13.02	34.93	18.44%	12.50%	13.34%	7.19%	73.87M
6	Aluminum	12.52B	10.39	9.74	0.27	0.48	1.49	6.70	21.51	-5.07%	38.56%	4.14%	1.77%	2.49M
7	Apparel Manufacturing	63.12B	27.62	17.45	2.14	0.96	3.55	9.13	15.90	11.58%	12.89%	1.83%	3.47%	15.99M
8	Apparel Retail	270.09B	22.83	20.03	2.95	1.59	7.19	17.51	29.17	11.50%	7.75%	7.41%	2.40%	51.42M
9	Asset Management	1372.59B	30.17	18.24	2.11	3.77	3.27	12.01	21.44	5.02%	14.29%	18.46%	1.55%	60.62M
10	Auto & Truck Dealerships	151.84B	28.73	21.86	0.67	0.69	3.99	24.37	30.32	16.26%	42.62%	19.51%	0.67%	9.97M
11	Auto Manufacturers	1563.69B	29.46	24.05	3.09	1.36	2.51	5.65	88.07	21.75%	9.53%	28.44%	1.54%	264.29M
12	Auto Parts	299.97B	22.63	15.83	1.98	1.06	3.43	15.91	21.76	5.68%	11.41%	8.53%	1.40%	58.21M
13	Banks - Diversified	3134.11B	13.33	11.04	1.13	1.74	1.44	1030.28	15.17	10.11%	11.84%	12.25%	0.88%	56.22M
14	Banks - Regional	1658.78B	13.84	10.43	0.96	1.73	1.35	1678.16	11.37	8.03%	14.38%	15.51%	0.75%	173.98M
15	Beverages - Brewers	199.06B	19.07	13.09	2.08	1.40	1.67	10.49	9.69	-10.18%	9.15%	3.98%	1.51%	15.08M
16	Beverages - Non-Alcoholic	682.97B	26.68	19.63	3.83	3.09	7.06	21.12	47.27	7.46%	6.96%	7.95%	0.29%	19.89M
17	Beverages - Wineries & Distilleries	83.22B	18.68	18.02	-	2.82	5.03	26.70	22.20	0.94%	-0.08%	4.23%	0.51%	6.22M
18	Biotechnology	880.83B	56.33	34.81	3.15	9.06	3.87	5.10	54.30	-10.14%	17.91%	46.30%	1.01%	472.19M
19	Broadcasting	13.83B	9.11	8.27	-	0.56	1.48	5.06	4.69	31.09%	-6.37%	33.69%	2.03%	14.43M
20	Building Materials	219.93B	26.19	21.21	2.28	2.84	3.08	30.56	39.98	22.08%	11.48%	6.70%	2.59%	20.33M
21	Building Products & Equipment	372.83B	28.17	21.06	2.65	2.52	5.56	55.10	27.49	13.23%	10.64%	5.63%	0.05%	10.97M
22	Business Equipment & Supplies	1.12B	13.60	11.53	-	0.51	0.69	2.43	7.98	1.33%	-	16.84%	2.48%	453.21K
23	Capital Markets	1036.33B	21.73	17.93	1.27	1.94	2.94	3.94	8.52	13.66%	17.11%	31.38%	1.96%	210.26M
24	Chemicals	32.59B	56.40	19.68	-	0.34	0.89	3.91	14.73	17.22%	-3.37%	2.42%	0.49%	22.21M
25	Coking Coal	6.13B	29.87	11.69	1.41	0.95	1.32	5.30	15.43	-7.34%	21.22%	7.43%	3.85%	3.39M
26	Communication Equipment	521.48B	30.36	18.23	3.43	2.96	4.27	10.40	22.11	7.64%	8.84%	2.04%	2.14%	140.76M
