
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Business Equipment & Supplies	1.14B	13.82	11.69	-	0.51	0.70	2.23	7.02	1.31%	-	15.70%	-0.79%	239.38K
2	Paper & Paper Products	15.10B	9.49	7.66	-	0.87	1.34	3.50	11.65	-14.27%	-3.06%	4.95%	-0.53%	783.27K
3	Uranium	50.22B	102.67	65.71	2.31	15.57	5.69	23.01	71.93	7.05%	44.49%	12.27%	-0.67%	44.73M
4	Internet Retail	3429.39B	30.44	24.50	1.21	2.85	5.78	11.21	93.95	32.60%	25.12%	23.84%	0.22%	76.61M
5	Gambling	125.63B	79.75	27.29	2.64	3.71	7.75	16.09	33.40	-21.00%	30.22%	43.10%	1.54%	54.68M
6	Semiconductors	8638.13B	50.68	27.42	1.70	14.21	11.82	34.11	53.64	56.74%	29.87%	40.94%	-1.48%	439.26M
7	Internet Content & Information	7367.16B	42.37	37.53	2.88	7.23	12.37	24.09	38.33	26.96%	14.72%	17.49%	1.49%	105.02M
8	Biotechnology	901.39B	51.29	34.68	2.52	9.00	4.05	5.28	46.48	-10.49%	20.34%	46.35%	0.81%	466.00M
9	Thermal Coal	11.44B	17.99	9.38	5.94	1.09	1.12	9.48	12.87	10.27%	3.03%	4.94%	-2.05%	1.96M
10	Metal Fabrication	47.56B	25.23	17.86	1.62	2.07	3.96	19.05	24.72	72.90%	15.55%	4.32%	-1.24%	2.32M
11	Software - Infrastructure	6257.35B	45.34	30.71	2.44	11.30	11.49	26.53	55.36	16.20%	18.59%	17.11%	0.54%	255.97M
12	REIT - Healthcare Facilities	200.14B	84.84	54.24	3.08	7.50	2.34	26.33	29.33	-5.15%	27.59%	10.76%	0.25%	16.01M
13	Shell Companies	39.26B	145.28	566.48	3.85	12.37	3.23	102.65	-	-	37.76%	-	-0.34%	5.20M
14	Airlines	167.83B	12.71	9.76	0.71	0.61	2.70	3.39	14.45	-5.15%	17.79%	6.24%	1.58%	60.19M
15	Leisure	79.69B	42.69	22.06	1.90	1.92	4.31	14.62	27.92	-17.82%	22.50%	10.45%	0.87%	16.23M
16	Discount Stores	1349.46B	41.31	33.88	4.40	1.17	9.46	45.27	47.64	9.44%	9.39%	7.13%	-0.92%	14.58M
17	Computer Hardware	446.05B	34.89	22.60	2.20	2.07	10.74	12.18	28.27	15.21%	15.83%	13.01%	-0.71%	123.57M
18	Utilities - Independent Power Producers	123.86B	32.42	19.89	2.66	2.07	11.41	40.80	61.55	15.02%	12.19%	14.20%	-1.61%	4.83M
19	Medical Distribution	186.17B	26.83	15.64	2.21	0.20	32.28	20.15	19.81	26.75%	12.15%	8.98%	-0.03%	3.57M
20	REIT - Specialty	387.35B	58.12	36.20	3.54	6.87	6.13	28.14	41.97	4.52%	16.43%	6.92%	1.04%	9.39M
21	Marine Shipping	32.56B	5.09	7.90	0.52	0.94	0.85	4.51	5.06	30.88%	9.70%	16.98%	0.13%	14.19M
22	Oil & Gas E&P	606.59B	13.01	11.58	1.02	2.10	1.48	24.84	13.65	18.64%	12.71%	12.02%	0.48%	61.64M
23	Engineering & Construction	325.77B	21.17	26.67	1.18	1.65	5.23	19.49	26.53	24.53%	17.94%	10.99%	-0.46%	10.19M
24	Real Estate - Development	8.51B	15.59	15.58	-	1.06	1.00	6.97	20.15	4.80%	-2.90%	18.52%	-0.52%	614.16K
25	Utilities - Renewable	158.42B	35.93	26.96	2.36	2.94	3.47	9.93	34.65	20.50%	15.25%	6.22%	0.06%	8.12M
26	Diagnostics & Research	676.81B	34.80	23.00	3.54	4.15	3.82	26.91	28.46	10.21%	9.82%	9.93%	0.63%	15.93M
27	Software - Application	2842.12B	43.75	30.19	2.50	7.36	6.90	16.89	31.99	22.91%	17.53%	19.72%	0.89%	204.62M
28	Real Estate - Diversified	7.41B	20.93	28.98	-	3.32	1.62	3.81	19.91	20.31%	-2.94%	13.59%	-0.31%	298.60K
29	Advertising Agencies	218.11B	42.38	21.92	1.10	3.14	8.91	17.47	25.42	62.78%	38.59%	29.37%	1.16%	29.48M
30	Medical Devices	972.73B	30.97	22.68	2.53	4.17	4.01	20.42	32.82	9.06%	12.25%	8.64%	0.64%	88.51M
31	Oil & Gas Equipment & Services	202.53B	13.18	13.00	1.39	1.25	1.92	9.87	12.32	39.18%	9.46%	4.43%	-0.05%	24.86M
32	Furnishings, Fixtures & Appliances	65.22B	28.09	15.71	2.30	0.91	2.43	16.33	22.00	3.88%	12.19%	7.25%	-0.35%	8.93M
33	Real Estate Services	164.81B	51.34	24.99	2.33	1.23	3.25	8.39	36.14	1.81%	22.08%	11.18%	0.77%	316.49M
34	Building Materials	232.97B	27.59	22.61	2.49	2.98	2.95	33.49	41.46	21.91%	11.07%	6.67%	-0.45%	8.45M
35	Health Information Services	121.10B	90.29	38.55	4.79	3.46	4.78	9.38	32.16	14.83%	18.84%	23.22%	1.56%	36.88M
36	Broadcasting	15.12B	11.07	9.08	-	0.62	1.63	5.54	4.39	30.75%	-7.69%	29.12%	-1.30%	11.53M
37	Food Distribution	79.84B	27.51	16.16	1.82	0.32	4.82	41.56	20.19	35.21%	15.11%	11.01%	-1.12%	3.51M
38	Credit Services	1740.27B	27.80	20.74	1.89	5.26	6.09	11.44	18.03	10.46%	14.74%	10.44%	-0.77%	54.89M
39	Auto Parts	311.00B	23.13	16.55	2.07	1.11	3.55	16.45	22.59	5.84%	11.19%	8.62%	-0.19%	59.68M
40	Electronic Components	376.43B	42.80	24.44	2.19	2.53	6.04	24.97	32.44	16.31%	19.59%	7.75%	-1.17%	24.64M
41	Beverages - Brewers	202.77B	19.61	13.60	2.19	1.42	1.70	10.72	9.93	-10.08%	8.94%	3.93%	0.81%	12.88M
42	Aerospace & Defense	1525.86B	42.35	30.78	2.80	3.03	7.15	24.02	51.65	20.35%	15.12%	3.64%	-0.25%	84.37M
43	Electronic Gaming & Multimedia	253.79B	41.58	20.80	2.06	6.75	7.45	8.41	26.38	-24.29%	20.18%	22.37%	-2.79%	17.16M
44	Education & Training Services	55.71B	22.57	17.37	1.85	1.62	2.58	3.54	17.64	17.29%	12.22%	9.20%	0.72%	11.56M
45	Gold	448.78B	20.87	12.99	0.79	4.92	2.76	17.18	25.01	11.33%	26.33%	13.20%	0.71%	103.12M
46	REIT - Mortgage	63.98B	19.99	7.31	4.39	2.04	0.91	4.45	12.31	-4.53%	4.55%	17.14%	-0.26%	20.84M
47	Drug Manufacturers - Specialty & Generic	304.73B	30.18	13.99	1.94	2.27	2.18	11.96	15.67	11.44%	15.55%	8.26%	0.55%	121.42M
48	Coking Coal	7.43B	65.48	13.03	2.54	1.22	1.60	6.75	21.93	-7.98%	25.75%	8.04%	-4.50%	5.50M
49	Semiconductor Equipment & Materials	736.88B	25.99	21.70	1.81	6.20	9.18	20.48	27.17	25.37%	14.35%	15.56%	-6.18%	46.96M
50	REIT - Diversified	60.19B	17.26	15.37	4.50	6.36	1.26	51.27	13.55	9.99%	3.83%	22.38%	-0.15%	5.50M
51	Aluminum	13.52B	11.24	10.38	0.28	0.52	1.61	7.25	23.23	-5.06%	40.15%	4.09%	0.16%	2.76M
52	Banks - Regional	1706.19B	14.24	10.74	0.98	1.67	1.37	1582.97	9.58	7.76%	14.51%	15.39%	-0.23%	227.87M
53	Entertainment	1084.48B	41.36	32.35	2.02	2.97	4.25	17.40	28.10	19.14%	20.48%	11.64%	0.51%	71.24M
54	Electrical Equipment & Parts	139.41B	37.37	24.15	1.55	3.35	5.54	19.21	34.05	23.15%	24.12%	10.60%	-0.77%	173.25M
55	Resorts & Casinos	99.36B	27.43	17.09	1.66	1.19	4.84	7.66	23.86	-1.25%	16.55%	3.14%	-0.09%	8.18M
56	Healthcare Plans	584.34B	14.50	12.71	11.72	0.36	1.90	40.24	13.07	-0.56%	1.24%	11.17%	8.17%	92.25M
57	Apparel Retail	277.82B	23.49	20.60	3.03	1.63	7.40	18.03	30.02	11.39%	7.75%	7.34%	-0.06%	20.13M
58	Waste Management	252.12B	43.02	31.04	3.72	3.79	6.23	128.86	39.59	9.40%	11.56%	9.79%	0.07%	7.62M
59	Travel Services	509.58B	28.91	19.15	1.63	3.32	10.29	8.51	19.21	1.02%	17.71%	9.58%	0.53%	20.67M
60	Financial Conglomerates	50.16B	15.78	3.09	1.14	1.52	1.36	4.38	32.06	4.96%	13.89%	14.74%	0.40%	1.93M
61	Solar	45.89B	23.06	11.52	0.94	1.39	1.81	3.46	42.15	-9.49%	24.41%	11.83%	10.84%	59.50M
62	Medical Care Facilities	214.31B	17.60	13.55	1.25	0.91	4.10	16.52	12.47	11.10%	14.05%	7.34%	-0.28%	17.12M
63	Specialty Chemicals	675.81B	36.28	21.37	4.40	2.48	3.51	22.64	39.50	15.36%	8.25%	4.11%	-0.07%	43.24M
