
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-0.69%	5.18%	22.62%	-11.70%	57.67%	-6.47%	1.71	51.55M	0.78	0.40%	40.11M
2	Aerospace & Defense	0.80%	4.45%	23.15%	25.28%	35.83%	32.65%	1.83	172.47M	0.99	0.67%	170.24M
3	Agricultural Inputs	-3.19%	-1.72%	10.98%	8.31%	18.54%	22.95%	2.09	18.26M	1.11	-2.05%	20.31M
4	Airlines	-4.07%	6.72%	26.23%	-6.95%	37.44%	-0.80%	1.70	135.14M	1.02	-1.09%	137.61M
5	Airports & Air Services	-1.83%	12.75%	33.76%	32.78%	43.73%	41.42%	2.61	34.43M	0.87	-0.36%	30.12M
6	Aluminum	-5.74%	5.13%	25.21%	1.03%	-4.53%	-6.60%	1.73	9.66M	1.06	-1.45%	10.25M
7	Apparel Manufacturing	-4.23%	3.81%	13.85%	-19.61%	0.21%	-13.22%	2.16	42.68M	1.33	-1.01%	56.79M
8	Apparel Retail	-1.17%	2.92%	-0.15%	-10.39%	2.35%	-8.71%	1.86	56.11M	0.97	-0.74%	54.37M
9	Asset Management	-0.41%	7.43%	19.60%	-1.43%	23.18%	5.23%	2.01	133.61M	1.04	-0.79%	138.70M
10	Auto & Truck Dealerships	-4.90%	-4.61%	13.37%	0.44%	27.45%	10.52%	2.01	20.88M	1.30	-1.16%	27.08M
11	Auto Manufacturers	-4.74%	1.64%	5.88%	-13.11%	23.87%	-14.60%	2.46	500.19M	0.81	-0.98%	405.95M
12	Auto Parts	-2.01%	3.92%	9.57%	8.28%	8.72%	10.76%	1.84	141.12M	1.15	-0.99%	162.97M
13	Banks - Diversified	-1.21%	3.27%	17.89%	13.57%	33.55%	23.67%	1.99	127.81M	0.90	-0.41%	114.86M
14	Banks - Regional	-2.61%	1.00%	9.63%	7.41%	14.10%	12.33%	1.87	370.52M	1.14	-0.95%	421.81M
15	Beverages - Brewers	-5.30%	-2.81%	-4.01%	19.39%	-3.14%	13.86%	1.75	37.16M	1.34	-1.25%	49.87M
16	Beverages - Non-Alcoholic	-0.58%	1.16%	0.24%	7.10%	-1.26%	6.18%	1.93	61.62M	0.80	-0.70%	49.58M
17	Beverages - Wineries & Distilleries	-3.58%	3.13%	-8.61%	-15.78%	-26.21%	-19.85%	2.48	15.23M	0.50	-1.79%	7.63M
18	Biotechnology	-1.56%	8.56%	7.30%	-1.06%	-12.78%	2.78%	1.55	642.55M	1.20	0.21%	770.35M
19	Broadcasting	-2.33%	3.17%	9.83%	-27.40%	-28.30%	-20.65%	1.82	23.99M	2.69	0.86%	64.61M
20	Building Materials	0.63%	5.79%	8.37%	-1.99%	6.08%	3.27%	1.80	29.57M	0.99	-0.56%	29.21M
21	Building Products & Equipment	-5.81%	0.98%	16.56%	4.86%	8.24%	7.41%	2.18	34.41M	1.46	-3.67%	50.15M
22	Business Equipment & Supplies	-4.10%	1.14%	2.54%	-19.36%	-25.11%	-19.99%	1.00	1.11M	1.00	-2.29%	1.10M
23	Capital Markets	1.30%	5.86%	34.27%	18.53%	53.39%	30.89%	2.09	468.01M	0.86	0.91%	404.27M
24	Chemicals	-15.40%	-5.04%	-10.12%	-36.08%	-52.62%	-34.55%	2.58	32.52M	1.31	-5.17%	42.52M
25	Coking Coal	-13.73%	10.93%	6.08%	-9.48%	-36.11%	-15.19%	1.88	6.03M	1.08	-5.02%	6.49M
26	Communication Equipment	-0.84%	-0.76%	15.99%	8.00%	34.15%	8.84%	2.07	149.95M	0.83	0.01%	125.02M
27	Computer Hardware	3.59%	10.90%	45.40%	17.68%	23.54%	15.38%	1.76	297.58M	0.71	0.75%	210.50M
28	Confectioners	-4.81%	0.52%	2.80%	17.22%	-1.74%	9.78%	2.19	9.37M	2.69	-4.70%	25.24M
29	Conglomerates	-5.13%	-3.36%	5.65%	-0.69%	9.62%	3.00%	2.09	15.81M	1.33	-1.04%	21.08M
30	Consulting Services	-4.85%	-6.54%	-6.38%	-8.17%	-10.62%	-4.81%	2.27	6.61M	1.44	-3.43%	9.50M
31	Consumer Electronics	-2.45%	1.48%	-1.21%	-11.41%	-2.77%	-15.47%	1.98	73.44M	0.79	-0.99%	58.17M
32	Copper	-11.36%	-10.13%	2.46%	5.84%	-11.37%	2.76%	2.63	36.52M	2.77	-7.72%	101.33M
33	Credit Services	-1.61%	-1.19%	6.81%	1.99%	31.55%	7.96%	1.82	145.73M	1.92	-0.56%	280.21M
34	Department Stores	-2.59%	15.05%	31.41%	-8.68%	-8.38%	-7.71%	3.65	20.62M	0.68	-2.08%	13.95M
35	Diagnostics & Research	1.84%	6.54%	9.53%	-12.73%	-15.30%	-5.78%	1.72	56.55M	1.15	-0.84%	64.77M
36	Discount Stores	0.52%	-1.95%	-0.26%	-0.82%	24.06%	5.38%	1.69	35.87M	0.78	-0.75%	27.99M
37	Drug Manufacturers - General	-3.96%	-0.13%	-4.15%	-2.99%	-12.16%	-0.27%	1.99	134.45M	1.33	-0.63%	179.14M
38	Drug Manufacturers - Specialty & Generic	-3.01%	-4.39%	0.78%	-5.42%	-7.41%	-4.44%	1.79	122.62M	1.03	-1.82%	125.90M
39	Education & Training Services	-1.54%	-8.41%	0.37%	-2.99%	-3.82%	-1.37%	1.79	33.56M	1.01	-1.04%	33.80M
40	Electrical Equipment & Parts	5.89%	12.34%	44.95%	19.03%	36.59%	16.02%	1.82	181.48M	0.66	1.11%	119.64M
41	Electronic Components	4.63%	11.20%	43.21%	39.42%	51.51%	42.44%	1.78	42.84M	1.14	-0.19%	48.92M
42	Electronic Gaming & Multimedia	-1.23%	2.26%	27.98%	38.24%	57.88%	44.98%	1.80	20.43M	1.06	2.26%	21.64M
