No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	262.03B	51.14	26.30	1.19	3.83	10.95	21.48	30.71	66.88%	42.86%	30.48%	0.10%	92.74M
2	Aerospace & Defense	1555.82B	43.23	31.38	2.80	3.09	7.19	24.18	52.55	21.41%	15.45%	3.64%	0.40%	196.40M
3	Agricultural Inputs	120.16B	21.72	14.70	1.78	1.52	1.49	16.29	17.15	3.17%	12.19%	4.36%	0.69%	16.17M
4	Airlines	168.70B	12.78	9.74	0.69	0.61	2.72	3.41	14.53	-5.89%	18.55%	6.15%	1.02%	184.77M
5	Airports & Air Services	42.49B	31.30	21.11	2.59	5.41	7.14	11.94	33.32	20.02%	12.07%	13.34%	2.82%	41.50M
6	Aluminum	13.99B	11.63	10.51	0.27	0.53	1.66	7.50	24.04	-5.06%	42.98%	4.09%	4.88%	9.77M
7	Apparel Manufacturing	69.18B	25.81	19.43	1.99	1.04	3.76	8.84	19.42	11.61%	12.96%	1.73%	2.60%	126.58M
8	Apparel Retail	287.29B	24.00	21.70	3.06	1.67	7.41	17.15	30.94	11.19%	7.83%	7.03%	0.89%	51.85M
9	Asset Management	1406.93B	31.92	18.87	2.21	4.16	3.18	12.90	22.06	4.82%	14.42%	17.98%	2.41%	137.62M
10	Auto & Truck Dealerships	156.09B	29.00	22.25	0.70	0.71	4.11	26.75	31.07	16.24%	41.60%	18.63%	0.10%	29.26M
11	Auto Manufacturers	1800.45B	36.04	28.03	3.60	0.20	2.85	0.71	92.14	21.38%	10.01%	28.00%	4.40%	385.39M
12	Auto Parts	331.03B	24.60	17.63	2.21	1.18	3.77	17.47	24.03	6.11%	11.13%	8.55%	2.29%	125.37M
13	Banks - Diversified	3378.21B	14.35	11.83	1.17	1.88	1.56	1110.52	17.64	10.19%	12.27%	12.24%	1.17%	97.84M
14	Banks - Regional	1755.41B	14.55	10.99	0.99	1.76	1.39	1776.98	9.92	7.55%	14.76%	15.71%	0.49%	353.52M
15	Beverages - Brewers	196.01B	18.96	13.28	2.11	1.38	1.64	10.36	9.60	-9.21%	8.99%	3.99%	0.71%	44.83M
16	Beverages - Non-Alcoholic	679.63B	26.29	19.40	3.46	3.07	6.94	20.83	47.30	7.96%	7.59%	8.29%	0.59%	53.82M
17	Beverages - Wineries & Distilleries	85.70B	26.81	17.58	7.54	2.90	5.07	22.00	21.22	5.37%	3.56%	6.01%	-0.21%	8.35M
18	Biotechnology	938.69B	53.43	35.85	2.62	9.42	4.21	5.51	48.41	-11.09%	20.42%	45.91%	2.07%	679.66M
19	Broadcasting	15.33B	11.23	9.25	-	0.63	1.67	5.66	4.46	30.51%	-7.58%	31.82%	3.29%	23.44M
20	Building Materials	235.72B	28.44	23.58	2.88	3.02	2.98	27.82	41.68	22.41%	9.88%	6.63%	2.70%	27.68M
21	Building Products & Equipment	372.87B	28.86	21.29	2.81	2.53	5.53	54.41	27.92	13.81%	10.28%	5.68%	0.87%	35.27M
22	Business Equipment & Supplies	1.16B	14.09	11.91	-	0.52	0.72	2.28	7.15	1.30%	-	14.71%	3.23%	927.74K
23	Capital Markets	1104.00B	23.35	19.27	1.50	2.05	3.11	4.40	6.20	13.47%	15.60%	26.49%	2.02%	602.38M
24	Chemicals	37.62B	79.40	25.02	-	0.40	1.06	4.70	17.93	17.43%	-3.78%	2.13%	4.49%	45.53M
25	Coking Coal	7.30B	64.37	12.64	2.58	1.20	1.57	6.63	21.56	-7.52%	24.95%	7.49%	-0.66%	5.90M
26	Communication Equipment	559.49B	31.18	18.10	3.15	3.11	4.47	12.55	22.87	10.02%	9.90%	3.84%	0.64%	188.40M
27	Computer Hardware	491.33B	37.30	23.42	2.14	2.22	11.65	13.08	28.49	15.47%	17.47%	13.06%	1.78%	208.33M
28	Confectioners	121.16B	25.73	22.90	-	2.47	4.04	45.36	26.23	8.06%	-0.13%	7.05%	-0.25%	7.46M
29	Conglomerates	245.67B	23.64	18.84	3.06	2.05	6.81	11.12	31.19	0.89%	7.72%	-0.80%	2.46%	14.58M
30	Consulting Services	96.02B	31.26	25.08	2.73	3.21	8.98	44.19	28.21	18.03%	11.43%	6.66%	2.68%	6.15M
31	Consumer Electronics	3596.59B	34.14	28.28	3.95	6.99	27.88	52.73	31.21	14.97%	8.65%	8.19%	1.45%	171.21M
32	Copper	161.66B	27.22	19.26	1.72	3.95	4.89	16.65	29.29	17.59%	15.80%	10.36%	2.56%	23.68M
33	Credit Services	1790.05B	28.66	21.50	1.94	5.41	6.24	11.39	18.59	10.44%	14.78%	10.46%	1.48%	134.58M
34	Department Stores	15.81B	14.31	17.67	-	0.35	1.60	7.14	8.52	28.75%	-13.35%	-0.60%	2.44%	13.50M
35	Diagnostics & Research	672.66B	34.48	22.86	3.47	4.11	3.79	26.69	28.40	9.95%	9.95%	10.11%	2.51%	62.60M
36	Discount Stores	1358.82B	38.85	34.16	4.17	1.17	9.09	43.26	47.84	9.41%	9.31%	7.13%	1.66%	36.91M
37	Drug Manufacturers - General	3187.77B	23.39	13.72	1.20	4.52	6.19	25.84	19.22	5.68%	19.52%	9.25%	1.30%	105.68M
38	Drug Manufacturers - Specialty & Generic	314.99B	31.29	14.46	2.05	2.34	2.26	12.28	16.09	11.61%	15.24%	8.38%	1.01%	152.28M
39	Education & Training Services	59.21B	23.98	16.98	2.02	1.72	2.77	3.76	23.05	15.26%	11.86%	9.29%	2.85%	39.55M
40	Electrical Equipment & Parts	149.77B	40.45	25.89	1.55	3.60	6.08	20.90	36.30	24.05%	26.11%	10.88%	1.51%	154.23M
41	Electronic Components	413.03B	46.88	27.09	2.30	2.81	6.30	27.00	35.64	16.55%	20.36%	7.86%	0.16%	55.08M
42	Electronic Gaming & Multimedia	279.73B	45.75	22.65	2.21	7.48	8.24	9.30	29.21	-24.36%	20.70%	22.85%	1.20%	16.85M
43	Electronics & Computer Distribution	31.10B	18.40	10.61	1.47	0.25	1.34	15.50	15.41	-0.52%	12.48%	8.95%	1.32%	2.87M
44	Engineering & Construction	340.27B	21.87	27.66	1.18	1.72	5.49	20.33	27.83	24.74%	18.46%	11.20%	1.24%	35.51M
45	Entertainment	1148.13B	43.81	35.21	2.08	3.41	4.78	19.40	30.15	18.98%	21.09%	11.94%	-0.22%	430.02M
46	Farm & Heavy Construction Machinery	432.84B	21.96	19.33	9.64	2.16	4.94	14.55	22.48	16.20%	2.28%	4.29%	1.78%	27.39M
47	Farm Products	78.67B	15.02	13.41	2.59	0.38	1.26	4.64	11.66	13.76%	5.80%	7.45%	0.45%	12.43M
48	Financial Conglomerates	51.23B	16.11	3.15	1.15	1.55	1.39	4.48	32.74	4.45%	14.04%	13.41%	0.51%	2.24M
49	Financial Data & Stock Exchanges	708.52B	35.61	27.66	3.85	9.63	5.51	30.98	27.86	8.66%	9.25%	17.68%	2.12%	21.95M
50	Food Distribution	82.08B	28.47	16.74	1.79	0.33	4.96	42.48	21.83	34.75%	15.93%	11.10%	1.75%	13.02M
51	Footwear & Accessories	169.84B	34.04	27.08	3.14	2.13	6.65	11.77	28.40	10.86%	10.85%	11.49%	0.65%	69.30M
52	Furnishings, Fixtures & Appliances	67.97B	29.53	16.61	2.56	0.95	2.53	16.94	23.13	3.82%	11.55%	6.97%	1.36%	18.94M
53	Gambling	126.08B	81.40	27.51	2.76	3.71	7.41	16.12	33.45	-21.19%	29.44%	43.26%	0.57%	40.66M
54	Gold	533.29B	23.40	15.03	0.82	5.63	3.23	20.03	27.62	10.72%	28.61%	13.21%	1.32%	223.27M
55	Grocery Stores	75.56B	18.41	13.79	1.56	0.29	4.05	9.85	26.19	14.60%	11.79%	5.04%	1.05%	29.95M
56	Health Information Services	127.28B	93.21	40.01	4.88	3.64	4.89	9.38	32.34	13.41%	19.09%	23.46%	2.66%	69.73M
57	Healthcare Plans	639.91B	15.88	14.13	27.61	0.39	2.08	44.07	14.32	-0.46%	0.58%	11.25%	1.98%	110.30M
58	Home Improvement Retail	584.75B	26.94	24.46	4.75	2.29	43.44	69.70	26.58	10.25%	5.67%	6.60%	2.46%	10.63M
59	Household & Personal Products	778.92B	26.04	20.21	3.74	3.00	7.24	29.56	24.83	3.85%	6.96%	3.51%	1.10%	97.96M
60	Industrial Distribution	245.74B	32.25	24.84	3.75	1.83	5.61	35.50	32.06	19.99%	8.60%	8.79%	0.85%	35.22M
61	Information Technology Services	885.59B	26.03	17.08	2.98	2.26	4.33	14.59	17.18	4.43%	8.74%	4.73%	0.65%	273.05M
62	Insurance - Diversified	2286.23B	20.13	25.60	13.32	2.66	1.92	3.32	57.20	4.71%	1.51%	8.25%	1.13%	13.75M
63	Insurance - Life	303.07B	14.77	9.00	1.74	1.08	1.56	4049.51	5.01	7.61%	8.48%	-4.73%	1.67%	19.74M
64	Insurance - Property & Casualty	633.58B	12.94	12.88	1.57	1.44	2.17	-	7.61	13.34%	8.24%	10.53%	1.73%	22.65M
65	Insurance - Reinsurance	44.09B	11.57	6.75	0.80	0.76	1.07	-	3.02	4.16%	14.44%	15.96%	2.26%	3.20M
66	Insurance - Specialty	79.81B	14.03	11.06	0.90	1.98	1.55	462.41	6.79	4.79%	15.54%	8.07%	1.92%	10.67M
67	Insurance Brokers	356.13B	34.31	20.82	3.10	4.30	5.01	11.90	27.41	16.21%	11.06%	9.25%	2.48%	13.82M
68	Integrated Freight & Logistics	200.34B	15.50	13.14	2.51	0.79	3.07	10.67	21.76	11.12%	6.18%	5.33%	1.47%	24.55M
69	Internet Content & Information	8090.44B	46.45	41.09	3.13	7.94	13.56	26.60	42.09	26.90%	14.84%	17.40%	0.25%	274.08M
70	Internet Retail	3525.63B	30.64	25.23	1.20	2.92	5.88	11.37	96.58	31.74%	25.52%	23.76%	0.86%	273.69M
71	Leisure	78.05B	41.35	21.40	1.75	1.87	4.16	14.68	27.00	-2.13%	23.67%	10.33%	1.60%	48.14M
72	Lodging	201.13B	32.62	25.39	2.68	3.39	44.17	35.08	29.66	17.45%	12.16%	4.65%	1.87%	7.99M
73	Lumber & Wood Production	23.66B	25.55	20.35	29.16	1.11	1.68	10.77	45.17	29.91%	0.88%	9.29%	2.56%	1.40M
74	Luxury Goods	31.60B	115.06	16.78	10.53	1.49	9.15	15.63	18.69	-90.47%	10.93%	6.02%	1.63%	13.86M
75	Marine Shipping	31.34B	5.55	8.55	0.84	0.97	0.79	4.51	5.56	31.55%	6.60%	18.00%	1.02%	17.24M
76	Medical Care Facilities	220.05B	18.19	13.96	1.27	0.95	4.28	17.58	12.97	11.88%	14.27%	7.32%	1.90%	52.32M
77	Medical Devices	986.88B	31.41	22.94	2.55	4.22	4.06	21.10	33.18	8.98%	12.31%	8.56%	1.47%	116.37M
78	Medical Distribution	194.94B	28.09	16.40	2.31	0.21	33.81	20.91	20.74	27.06%	12.15%	9.15%	2.11%	8.63M
79	Medical Instruments & Supplies	461.95B	44.17	22.77	3.95	4.03	3.35	22.06	35.34	10.96%	11.19%	9.39%	1.65%	60.40M
80	Metal Fabrication	49.25B	26.12	18.47	1.68	2.14	4.08	19.71	25.60	71.25%	15.52%	4.36%	-0.03%	11.69M
81	Mortgage Finance	83.64B	70.38	35.24	1.41	4.40	3.14	9.27	914.16	12.80%	49.93%	1.06%	1.70%	99.59M
82	Oil & Gas Drilling	18.80B	37.61	20.39	-	0.84	0.72	6.79	14.26	18.81%	-5.98%	9.24%	0.07%	41.92M
83	Oil & Gas E&P	605.90B	13.16	11.71	1.01	2.10	1.48	23.89	13.98	18.47%	13.04%	11.74%	-0.31%	124.15M
84	Oil & Gas Equipment & Services	215.80B	14.05	13.83	1.53	1.33	2.04	10.49	13.10	39.47%	9.17%	4.23%	0.00%	136.73M
85	Oil & Gas Integrated	1598.38B	14.50	11.61	1.88	0.94	1.48	8.65	10.21	19.51%	7.71%	4.01%	-0.54%	78.91M
86	Oil & Gas Midstream	826.04B	17.98	15.95	2.60	1.77	2.99	40.23	17.01	10.05%	6.92%	7.38%	0.57%	88.28M
87	Oil & Gas Refining & Marketing	202.31B	36.72	13.88	1.93	0.35	2.07	10.58	20.47	6.10%	19.02%	5.16%	0.28%	24.97M
88	Other Industrial Metals & Mining	314.59B	14.10	12.21	34.79	2.00	1.99	9.31	18.31	-4.27%	0.41%	3.37%	1.48%	95.92M
89	Other Precious Metals & Mining	30.71B	38.27	17.44	0.90	3.31	2.60	10.69	70.59	-0.35%	42.31%	13.12%	1.43%	58.32M
90	Packaged Foods	258.93B	20.11	13.51	6.30	1.12	1.88	14.60	14.69	4.10%	3.19%	4.43%	1.02%	83.91M
91	Packaging & Containers	161.37B	29.35	12.75	1.14	1.01	2.03	21.16	29.65	-1.60%	25.80%	4.07%	1.57%	60.56M
92	Paper & Paper Products	14.57B	9.16	7.73	-	0.84	1.29	3.38	11.24	-14.39%	-3.06%	4.89%	1.55%	2.43M
93	Personal Services	59.50B	5.10	23.24	0.41	3.21	4.27	19.16	24.49	13.44%	12.41%	8.16%	3.50%	7.03M
94	Pharmaceutical Retailers	10.86B	-	1234.46	-	0.07	1.47	11.75	18.33	51.51%	-	3.53%	4.12%	1.59M
95	Pollution & Treatment Controls	48.58B	36.05	29.01	3.02	4.89	7.64	21.28	33.01	-22.75%	11.95%	3.81%	2.48%	10.37M
96	Publishing	22.97B	21.65	18.25	1.94	1.68	2.61	16.89	11.18	16.31%	11.17%	2.37%	2.09%	3.43M
97	Railroads	416.08B	19.92	17.41	2.14	4.56	3.90	68.49	26.07	5.83%	9.32%	4.28%	1.20%	23.06M
98	Real Estate - Development	8.64B	15.82	15.83	-	1.08	0.99	7.11	20.45	6.40%	-2.86%	18.21%	2.45%	4.99M
99	Real Estate - Diversified	8.06B	22.75	30.78	6.96	3.61	1.76	4.14	21.64	20.24%	3.27%	13.29%	4.08%	786.18K
100	Real Estate Services	177.00B	55.86	27.11	2.56	1.32	3.47	9.07	37.95	3.23%	21.85%	10.92%	3.74%	1.25B
101	Recreational Vehicles	27.20B	39.82	20.36	6.79	0.68	1.86	7.54	9.09	-0.70%	5.86%	3.90%	2.73%	6.81M
102	REIT - Diversified	62.64B	17.95	15.89	4.39	6.61	1.32	53.45	14.09	9.85%	4.08%	22.11%	0.69%	14.45M
103	REIT - Healthcare Facilities	208.69B	87.42	56.82	3.23	7.82	2.43	27.45	30.59	-5.10%	27.10%	10.81%	0.26%	30.50M
104	REIT - Hotel & Motel	33.21B	25.69	27.60	-	1.44	1.29	10.94	12.81	-5.17%	-3.10%	1.70%	0.87%	23.73M
105	REIT - Industrial	268.10B	33.17	36.66	-	8.49	2.34	71.75	23.31	9.61%	-1.09%	16.95%	2.67%	30.45M
106	REIT - Mortgage	66.75B	20.87	7.59	4.71	2.13	0.95	4.64	12.84	-4.56%	4.43%	17.28%	-0.11%	69.00M
107	REIT - Office	77.05B	55.34	78.86	1.00	4.02	1.25	13.68	13.61	-27.26%	55.07%	4.33%	2.07%	27.32M
108	REIT - Residential	195.33B	31.01	46.22	5.25	7.80	2.40	57.78	22.38	4.43%	5.90%	7.66%	1.81%	19.14M
109	REIT - Retail	246.95B	35.01	36.90	3.03	9.34	2.44	50.33	20.32	-0.08%	11.54%	11.38%	1.53%	29.66M
110	REIT - Specialty	384.68B	57.71	36.12	3.56	6.82	6.09	27.94	41.68	4.17%	16.22%	7.00%	1.63%	25.70M
111	Rental & Leasing Services	166.92B	19.70	17.85	2.33	1.83	2.99	17.33	100.05	5.25%	8.47%	10.74%	1.57%	22.96M
112	Residential Construction	206.99B	12.91	14.18	-	1.28	2.07	15.88	23.05	26.43%	-1.19%	12.12%	2.66%	14.74M
113	Resorts & Casinos	102.24B	28.22	17.58	1.65	1.23	4.98	7.88	24.56	-0.85%	17.06%	3.12%	0.91%	27.17M
114	Restaurants	565.35B	29.10	24.03	3.29	3.30	21.57	31.87	31.08	9.84%	8.85%	7.68%	0.79%	97.05M
115	Scientific & Technical Instruments	204.48B	37.13	21.53	3.18	3.99	3.44	15.41	26.39	7.85%	11.67%	8.45%	2.39%	29.67M
116	Security & Protection Services	47.69B	23.16	15.95	2.08	2.04	4.04	12.99	14.82	12.84%	11.13%	7.40%	3.34%	28.68M
117	Semiconductor Equipment & Materials	803.65B	28.41	23.74	1.98	6.76	9.95	22.32	29.67	25.28%	14.35%	15.56%	3.23%	56.13M
118	Semiconductors	8973.96B	48.13	27.06	1.46	14.27	11.86	34.67	54.73	54.37%	32.96%	39.64%	-0.53%	546.02M
119	Shell Companies	41.03B	141.62	599.90	3.34	12.92	2.29	95.57	-	-	42.40%	-	1.02%	24.68M
120	Silver	10.91B	69.20	27.79	1.38	7.90	2.44	9.85	47.65	-2.00%	50.21%	10.58%	7.85%	66.15M
121	Software - Application	2852.55B	44.54	30.17	2.55	7.37	7.06	17.57	31.96	23.31%	17.48%	20.40%	1.19%	632.81M
122	Software - Infrastructure	6259.08B	45.44	30.65	2.32	11.19	11.03	27.84	54.67	15.97%	19.57%	16.87%	-0.60%	527.07M
123	Solar	49.13B	24.46	11.81	1.01	1.49	1.93	3.63	45.24	-15.46%	24.10%	12.16%	-0.33%	42.00M
124	Specialty Business Services	397.84B	40.43	27.49	3.70	3.42	6.17	30.20	31.99	9.20%	10.92%	8.12%	1.96%	32.16M
125	Specialty Chemicals	685.68B	36.20	21.65	4.51	2.52	3.55	22.71	40.94	15.36%	8.03%	4.08%	2.50%	55.88M
126	Specialty Industrial Machinery	1100.05B	34.54	25.30	2.86	3.85	5.89	34.15	32.75	-2.44%	12.09%	5.56%	1.04%	150.94M
127	Specialty Retail	202.24B	23.92	19.55	3.06	1.04	5.78	10.93	24.19	17.10%	7.81%	7.40%	1.71%	51.53M
128	Staffing & Employment Services	19.11B	26.01	13.98	4.04	0.40	2.40	4.67	12.75	-0.75%	6.44%	7.28%	4.28%	7.19M
129	Steel	144.97B	19.48	11.63	0.93	0.59	0.85	4.48	50.73	12.85%	21.06%	6.50%	1.74%	48.98M
130	Telecom Services	1240.62B	14.66	12.43	1.24	1.41	1.97	10.78	9.81	4.27%	11.83%	4.56%	0.84%	152.86M
131	Textile Manufacturing	1.92B	32.49	16.05	-	0.98	1.60	13.53	20.15	-5.82%	-	2.75%	0.12%	364.01K
132	Thermal Coal	11.26B	17.70	9.61	6.73	1.07	1.10	9.33	12.66	10.31%	2.63%	4.88%	-0.57%	3.08M
133	Tobacco	503.82B	23.93	15.09	2.86	5.24	7.45	37.22	18.41	-3.29%	8.36%	2.73%	1.34%	21.17M
134	Tools & Accessories	72.25B	24.39	17.80	2.67	1.86	2.74	23.89	22.56	7.61%	9.13%	11.06%	2.04%	6.13M
