No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	5.76%	7.83%	9.46%	19.75%	63.69%	5.18%	1.75	56.06M	0.61	-0.72%	14.29M
2	Aerospace & Defense	1.51%	0.82%	10.47%	25.67%	32.91%	32.84%	1.82	185.67M	0.64	-0.66%	49.74M
3	Agricultural Inputs	0.78%	-0.71%	-0.04%	14.56%	17.62%	21.84%	2.03	18.39M	0.49	-0.62%	3.75M
4	Airlines	-0.02%	11.80%	20.34%	11.33%	58.09%	10.70%	1.69	128.38M	0.74	-0.25%	39.79M
5	Airports & Air Services	-2.13%	0.28%	21.57%	42.93%	66.95%	42.88%	2.72	41.14M	1.42	-2.11%	24.44M
6	Aluminum	0.69%	6.31%	21.96%	4.61%	-1.26%	-2.40%	1.88	9.02M	0.47	0.47%	1.77M
7	Apparel Manufacturing	2.07%	10.01%	7.77%	-6.46%	1.77%	-7.33%	2.07	46.89M	0.57	0.04%	11.20M
8	Apparel Retail	-0.49%	7.49%	2.17%	0.36%	0.73%	-3.33%	1.88	56.13M	1.17	-1.03%	27.36M
9	Asset Management	-0.26%	-0.36%	12.27%	5.72%	22.14%	3.81%	2.01	132.82M	1.02	-0.11%	56.56M
10	Auto & Truck Dealerships	1.29%	3.62%	9.38%	15.78%	32.96%	22.28%	1.99	20.34M	0.46	-1.27%	3.92M
11	Auto Manufacturers	-1.53%	8.41%	-0.59%	11.44%	32.51%	-10.32%	2.39	478.25M	0.97	-2.30%	194.48M
12	Auto Parts	0.51%	8.43%	13.51%	15.88%	19.97%	19.82%	1.83	142.92M	0.62	-0.65%	36.86M
13	Banks - Diversified	1.20%	5.46%	14.28%	16.96%	39.81%	29.28%	1.99	123.19M	0.65	0.03%	33.65M
14	Banks - Regional	-0.71%	3.75%	7.87%	13.66%	18.86%	16.72%	1.80	368.52M	0.67	-0.08%	102.80M
15	Beverages - Brewers	-1.97%	4.21%	-10.75%	0.56%	-8.23%	8.53%	1.82	38.07M	1.02	0.17%	16.23M
16	Beverages - Non-Alcoholic	-2.42%	2.55%	0.38%	-1.36%	-4.54%	6.39%	1.96	61.54M	0.91	0.72%	23.35M
17	Beverages - Wineries & Distilleries	-3.57%	10.77%	-1.52%	-1.38%	-23.59%	-14.99%	2.42	13.93M	1.24	0.33%	7.21M
18	Biotechnology	-2.49%	4.74%	3.15%	-12.17%	-11.34%	-8.61%	1.50	731.07M	0.58	-0.71%	178.66M
19	Broadcasting	-1.19%	10.50%	12.77%	-20.42%	-13.58%	-13.16%	2.04	23.05M	1.50	0.19%	14.42M
20	Building Materials	-0.12%	6.92%	11.49%	8.23%	12.88%	9.51%	1.75	33.49M	0.85	-0.02%	11.88M
21	Building Products & Equipment	-2.51%	-0.14%	3.45%	10.61%	6.02%	7.29%	2.22	34.75M	0.62	-1.46%	9.01M
22	Business Equipment & Supplies	-1.57%	0.79%	-1.49%	-16.41%	-23.36%	-20.08%	1.00	1.02M	0.49	-0.21%	209.98K
23	Capital Markets	-0.14%	1.37%	21.27%	23.00%	55.52%	31.31%	2.11	496.97M	1.21	-0.57%	250.72M
24	Chemicals	-0.43%	6.44%	-3.25%	-23.99%	-50.16%	-32.30%	2.46	36.06M	0.87	0.37%	13.05M
25	Coking Coal	4.78%	21.46%	42.61%	29.03%	-4.98%	3.60%	1.82	8.35M	1.14	2.57%	3.97M
26	Communication Equipment	2.38%	5.20%	13.85%	11.75%	31.64%	14.47%	2.16	153.26M	1.12	-0.65%	71.48M
27	Computer Hardware	1.83%	3.34%	32.61%	33.25%	33.83%	22.31%	1.71	237.60M	1.10	-2.82%	108.93M
28	Confectioners	-2.49%	-4.44%	-4.24%	-1.91%	-11.41%	4.01%	2.21	9.29M	0.50	0.19%	1.95M
29	Conglomerates	-1.34%	1.43%	1.30%	2.37%	10.75%	5.19%	2.08	17.12M	0.50	-0.72%	3.56M
30	Consulting Services	-2.25%	0.71%	-7.33%	-2.82%	-14.13%	-4.85%	2.18	5.93M	0.34	0.15%	831.68K
31	Consumer Electronics	1.52%	11.76%	14.90%	-3.53%	3.04%	-6.15%	2.02	75.15M	0.67	-0.38%	21.12M
32	Copper	0.94%	7.32%	11.95%	17.10%	-2.25%	14.00%	2.59	34.72M	0.42	0.39%	6.16M
33	Credit Services	0.86%	4.59%	3.96%	3.67%	30.11%	12.42%	1.82	150.39M	0.76	0.59%	47.89M
34	Department Stores	0.61%	14.39%	32.40%	21.20%	19.15%	5.61%	3.66	19.83M	0.61	-1.58%	5.03M
35	Diagnostics & Research	-0.88%	7.52%	15.72%	1.38%	-13.11%	-1.81%	1.73	54.01M	0.70	0.60%	15.81M
36	Discount Stores	-1.22%	-1.30%	-4.25%	-4.60%	12.99%	4.58%	1.67	35.77M	0.74	-0.21%	11.00M
37	Drug Manufacturers - General	-0.87%	5.87%	3.31%	-8.77%	-15.02%	2.51%	1.99	131.41M	0.70	0.23%	38.40M
38	Drug Manufacturers - Specialty & Generic	-0.87%	8.70%	-2.02%	3.87%	-5.14%	1.02%	1.82	184.12M	1.10	0.09%	84.85M
39	Education & Training Services	-0.65%	8.20%	0.14%	3.56%	16.83%	7.90%	1.71	27.20M	0.76	-0.49%	8.61M
40	Electrical Equipment & Parts	0.52%	-0.05%	28.31%	30.57%	39.85%	16.03%	1.90	151.66M	0.69	-3.28%	43.92M
41	Electronic Components	0.70%	1.79%	26.69%	43.37%	54.87%	44.84%	1.81	45.18M	0.77	-2.68%	14.58M
42	Electronic Gaming & Multimedia	3.04%	0.37%	18.94%	42.09%	64.56%	49.99%	1.76	26.36M	12.31	-1.21%	135.52M
43	Electronics & Computer Distribution	-1.68%	5.48%	11.43%	5.65%	-3.31%	9.04%	2.37	2.63M	0.36	-0.36%	390.68K
44	Engineering & Construction	-0.49%	0.78%	17.46%	39.24%	36.06%	26.66%	1.73	34.15M	1.09	-1.99%	15.60M
45	Entertainment	-0.43%	2.77%	3.70%	14.64%	51.38%	22.91%	1.78	161.64M	0.93	-1.27%	62.70M
46	Farm & Heavy Construction Machinery	-3.90%	-5.25%	6.65%	7.17%	17.60%	9.94%	2.21	31.75M	0.80	-3.32%	10.60M
47	Farm Products	-1.44%	10.31%	15.55%	15.57%	-2.06%	12.21%	2.50	16.04M	0.85	0.06%	5.66M
48	Financial Conglomerates	-0.69%	8.98%	17.15%	20.55%	16.56%	22.63%	1.91	3.21M	0.71	-0.81%	949.63K
49	Financial Data & Stock Exchanges	-1.87%	-4.27%	3.21%	4.93%	13.27%	10.54%	2.04	27.17M	0.47	-0.22%	5.37M
