
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	289.04B	56.46	28.83	1.27	4.17	11.97	23.60	33.80	68.76%	44.63%	31.16%	1.17%	59.17M
2	Aerospace & Defense	1604.45B	44.58	32.42	2.88	3.19	7.42	24.92	54.19	22.68%	15.49%	3.57%	0.98%	266.89M
3	Agricultural Inputs	106.10B	23.09	14.75	1.94	1.57	1.56	14.97	15.15	3.39%	11.90%	4.37%	-0.39%	14.48M
4	Airlines	163.14B	12.36	9.40	0.66	0.60	2.65	3.34	14.05	-6.10%	18.78%	6.14%	0.76%	125.36M
5	Airports & Air Services	44.88B	33.06	22.17	2.57	5.71	7.54	12.61	35.19	18.90%	12.85%	13.36%	1.38%	59.05M
6	Aluminum	13.98B	11.62	10.31	0.26	0.53	1.66	7.50	24.01	-5.05%	45.09%	4.05%	-2.65%	10.36M
7	Apparel Manufacturing	69.00B	25.77	19.40	2.00	1.04	3.74	8.87	19.54	11.38%	12.90%	1.67%	1.37%	78.64M
8	Apparel Retail	279.37B	23.34	21.32	2.98	1.70	7.72	17.01	30.07	11.70%	7.82%	7.16%	0.24%	49.09M
9	Asset Management	1423.54B	28.17	19.09	1.95	3.96	1.43	12.40	22.36	4.76%	14.47%	18.29%	-0.35%	179.68M
10	Auto & Truck Dealerships	157.82B	29.32	22.53	0.68	0.72	4.16	27.05	31.42	16.29%	43.03%	19.14%	-1.34%	46.03M
11	Auto Manufacturers	1995.58B	39.95	30.90	3.72	1.71	3.16	7.37	102.13	20.95%	10.74%	28.47%	-1.26%	342.80M
12	Auto Parts	325.39B	24.92	17.05	2.03	1.16	3.67	16.86	23.71	4.60%	12.26%	8.66%	-0.09%	182.01M
13	Banks - Diversified	3449.11B	14.67	12.07	1.17	1.92	1.59	1133.83	18.01	10.16%	12.50%	12.23%	-0.10%	95.00M
14	Banks - Regional	1735.01B	14.40	10.87	0.97	1.74	1.38	1756.33	9.82	9.43%	14.89%	15.77%	-0.13%	398.63M
15	Beverages - Brewers	195.22B	18.88	13.21	2.09	1.37	1.64	10.32	9.56	-8.92%	9.05%	4.05%	0.76%	68.34M
16	Beverages - Non-Alcoholic	667.76B	25.83	19.08	3.47	2.99	6.75	20.36	46.20	7.75%	7.44%	8.14%	0.74%	59.68M
