No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	208.62B	42.44	21.96	1.39	2.99	8.70	15.29	23.83	57.91%	30.53%	28.68%	0.40%	40.11M
2	Aerospace & Defense	1541.67B	43.14	31.02	2.89	3.07	7.39	25.22	53.21	20.75%	14.92%	3.68%	0.67%	170.24M
3	Agricultural Inputs	123.53B	30.31	15.61	2.62	1.59	1.61	20.68	19.46	3.34%	11.56%	4.39%	-2.05%	20.31M
4	Airlines	154.20B	11.73	8.95	0.65	0.56	2.47	3.09	12.97	-5.26%	17.94%	6.22%	-1.09%	137.61M
5	Airports & Air Services	40.80B	30.06	20.42	2.36	5.27	6.83	12.33	33.49	19.35%	12.76%	13.34%	-0.36%	30.12M
6	Aluminum	13.16B	10.94	10.13	0.28	0.50	1.63	7.70	22.61	-5.06%	39.03%	4.14%	-1.45%	10.25M
7	Apparel Manufacturing	63.85B	29.89	17.50	2.36	0.97	3.55	9.29	15.43	11.50%	12.69%	1.88%	-1.01%	56.79M
8	Apparel Retail	267.49B	22.64	19.84	2.93	1.57	7.13	17.37	28.98	11.62%	7.72%	7.50%	-0.74%	54.37M
9	Asset Management	1395.96B	26.84	18.61	1.89	3.85	3.31	12.38	22.94	4.94%	14.19%	18.34%	-0.79%	138.70M
10	Auto & Truck Dealerships	143.59B	27.97	20.74	0.70	0.66	3.83	23.15	28.02	16.32%	40.15%	18.95%	-1.16%	27.08M
11	Auto Manufacturers	1610.19B	29.21	24.49	2.86	1.40	2.59	5.87	96.11	21.50%	10.20%	28.51%	-0.98%	405.95M
12	Auto Parts	296.34B	22.42	15.71	2.04	1.05	3.43	16.44	21.61	5.60%	10.99%	8.51%	-0.99%	162.97M
13	Banks - Diversified	3194.67B	13.59	11.23	1.15	1.76	1.48	1028.38	16.66	9.99%	11.81%	12.22%	-0.41%	114.86M
14	Banks - Regional	1679.00B	14.01	10.59	0.98	1.76	1.37	1698.62	11.58	8.02%	14.35%	15.66%	-0.95%	421.81M
15	Beverages - Brewers	215.85B	23.24	14.01	2.38	1.50	1.86	9.25	10.69	-10.04%	9.77%	3.89%	-1.25%	49.87M
16	Beverages - Non-Alcoholic	690.18B	26.98	19.72	3.74	3.13	7.14	21.36	47.88	7.52%	7.21%	7.99%	-0.70%	49.58M
17	Beverages - Wineries & Distilleries	86.11B	19.28	18.65	123.13	2.92	5.22	27.60	22.99	0.89%	0.16%	4.18%	-1.79%	7.63M
18	Biotechnology	872.58B	57.22	35.13	3.19	9.07	3.85	5.02	58.53	-10.24%	17.95%	46.51%	0.21%	770.35M
19	Broadcasting	14.01B	9.23	8.38	-	0.57	1.50	5.12	4.75	30.92%	-6.42%	34.46%	0.86%	64.61M
20	Building Materials	216.96B	25.89	20.93	2.24	2.80	3.05	30.91	40.88	22.26%	11.54%	6.71%	-0.56%	29.21M
21	Building Products & Equipment	373.50B	28.16	20.83	2.59	2.53	5.59	52.11	27.23	12.94%	10.87%	5.62%	-3.67%	50.15M
22	Business Equipment & Supplies	1.15B	29.54	11.83	-	0.51	0.72	2.48	7.37	1.33%	-	16.74%	-2.29%	1.10M
23	Capital Markets	1058.91B	22.30	18.31	1.29	2.01	3.05	4.06	9.93	13.70%	17.29%	32.09%	0.91%	404.27M
24	Chemicals	35.29B	67.78	20.76	-	0.37	0.98	3.98	17.03	17.14%	-3.77%	2.44%	-5.17%	42.52M
25	Coking Coal	5.97B	26.58	11.30	1.28	0.92	1.28	5.06	15.00	-7.37%	20.70%	7.47%	-5.02%	6.49M
26	Communication Equipment	519.19B	30.32	18.13	3.45	2.95	4.25	10.35	21.99	8.05%	8.78%	2.02%	0.01%	125.02M
27	Computer Hardware	447.89B	32.34	22.07	2.25	2.02	11.17	11.60	29.96	15.71%	14.35%	12.55%	0.75%	210.50M
28	Confectioners	125.72B	26.23	23.90	-	2.59	4.17	38.33	26.26	8.00%	-0.28%	7.05%	-4.70%	25.24M
29	Conglomerates	244.97B	23.11	18.45	3.01	1.91	6.33	11.12	33.54	0.85%	7.68%	-0.95%	-1.04%	21.08M
30	Consulting Services	94.66B	30.23	24.56	2.64	3.18	9.03	36.29	27.70	18.03%	11.44%	6.54%	-3.43%	9.50M
31	Consumer Electronics	3274.45B	31.73	26.23	4.24	6.45	25.84	45.09	28.16	15.01%	7.48%	8.22%	-0.99%	58.17M
32	Copper	137.18B	24.08	16.22	1.58	3.35	4.25	14.07	25.29	17.44%	15.28%	10.34%	-7.72%	101.33M
33	Credit Services	1739.96B	27.30	20.08	1.89	5.28	6.03	11.60	18.21	10.26%	14.44%	10.47%	-0.56%	280.21M
34	Department Stores	12.22B	11.32	14.66	-	0.27	1.27	5.44	12.39	30.25%	-12.06%	-0.51%	-2.08%	13.95M
35	Diagnostics & Research	652.65B	36.45	22.25	3.84	4.01	3.71	25.59	27.55	10.15%	9.49%	9.75%	-0.84%	64.77M
36	Discount Stores	1312.67B	40.19	33.00	4.39	1.13	9.21	44.04	46.34	9.42%	9.16%	7.10%	-0.75%	27.99M
37	Drug Manufacturers - General	3047.17B	24.39	13.11	1.21	4.38	6.08	25.05	18.63	5.95%	20.16%	9.31%	-0.63%	179.14M
38	Drug Manufacturers - Specialty & Generic	290.17B	33.17	13.30	2.04	2.18	2.19	11.11	14.84	11.66%	16.28%	8.32%	-1.82%	125.90M
39	Education & Training Services	51.60B	21.08	16.33	1.40	1.53	2.33	3.50	22.84	12.77%	15.01%	9.01%	-1.04%	33.80M
40	Electrical Equipment & Parts	140.23B	40.20	25.00	1.93	3.47	5.67	17.16	31.30	22.69%	20.81%	10.53%	1.11%	119.64M
41	Electronic Components	373.39B	42.42	24.43	2.25	2.51	6.00	24.73	31.89	16.65%	18.83%	7.58%	-0.19%	48.92M
42	Electronic Gaming & Multimedia	252.72B	42.44	20.93	1.98	6.87	7.85	8.87	28.30	-25.04%	21.41%	23.06%	2.26%	21.64M
43	Electronics & Computer Distribution	31.20B	18.27	10.89	1.55	0.25	1.38	15.27	10.42	5.18%	11.82%	8.53%	-0.51%	3.05M
44	Engineering & Construction	329.15B	26.07	27.53	1.58	1.69	5.58	18.59	26.84	24.14%	16.48%	11.05%	-0.01%	29.54M
45	Entertainment	1037.98B	46.51	32.36	2.13	3.11	4.52	18.13	28.28	17.38%	21.88%	11.72%	0.75%	155.24M
46	Farm & Heavy Construction Machinery	441.32B	21.27	19.39	11.60	2.17	5.17	17.04	23.60	16.23%	1.83%	4.27%	-0.03%	34.49M
47	Farm Products	73.69B	13.91	12.57	2.82	0.35	1.20	6.61	24.78	14.15%	4.93%	7.50%	2.02%	16.57M
48	Financial Conglomerates	45.79B	15.12	2.79	1.07	1.41	1.30	3.01	26.36	5.69%	14.12%	16.86%	-0.43%	2.92M
