
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	209.87B	40.76	21.08	1.08	3.02	8.58	16.85	24.47	61.75%	37.86%	29.00%	-0.04%	52.36M
2	Aerospace & Defense	1517.26B	42.12	30.60	2.79	3.02	7.11	23.86	51.36	20.73%	15.09%	3.60%	0.57%	123.94M
3	Agricultural Inputs	119.70B	21.64	14.63	1.82	1.52	1.49	16.23	17.08	3.12%	11.90%	4.37%	0.53%	13.57M
4	Airlines	165.59B	12.54	9.62	0.68	0.60	2.67	3.35	14.26	-5.30%	18.48%	6.22%	-1.82%	120.32M
5	Airports & Air Services	42.33B	31.16	20.87	2.49	5.43	7.15	12.14	33.63	19.97%	12.52%	13.27%	-0.44%	47.77M
6	Aluminum	12.85B	10.68	9.87	0.26	0.49	1.53	6.89	22.08	-5.06%	40.40%	4.13%	-1.38%	5.30M
7	Apparel Manufacturing	63.78B	24.64	17.80	1.96	0.96	3.57	8.28	17.83	11.58%	12.58%	1.76%	-1.10%	62.36M
8	Apparel Retail	283.25B	23.95	21.02	3.06	1.67	7.54	18.38	30.61	11.34%	7.82%	7.33%	1.24%	67.88M
9	Asset Management	1348.69B	30.47	17.98	2.14	3.75	3.18	11.72	21.44	4.96%	14.22%	18.23%	-0.60%	111.27M
10	Auto & Truck Dealerships	148.41B	27.55	21.16	0.66	0.68	3.91	25.42	29.54	16.45%	42.01%	18.68%	-1.36%	17.88M
11	Auto Manufacturers	1651.53B	33.37	25.59	3.42	1.42	2.61	6.09	84.52	21.45%	9.75%	27.69%	-1.14%	336.10M
12	Auto Parts	314.72B	23.39	16.75	2.11	1.12	3.59	16.60	22.84	6.18%	11.09%	8.62%	0.08%	102.15M
13	Banks - Diversified	3227.45B	13.76	11.38	1.14	1.80	1.49	1060.96	14.74	10.26%	12.08%	12.23%	0.54%	97.23M
14	Banks - Regional	1702.22B	14.15	10.71	0.97	1.70	1.36	1312.98	9.83	7.78%	14.58%	15.51%	0.66%	359.92M
15	Beverages - Brewers	205.18B	19.84	13.78	2.25	1.44	1.72	10.85	10.05	-9.99%	8.84%	3.91%	1.02%	23.62M
16	Beverages - Non-Alcoholic	714.55B	27.64	20.51	3.77	3.20	7.23	21.82	49.44	7.77%	7.33%	8.30%	0.33%	58.73M
17	Beverages - Wineries & Distilleries	94.31B	29.28	19.34	7.89	3.19	5.58	24.55	25.26	5.45%	3.71%	6.01%	0.75%	32.18M
18	Biotechnology	894.86B	50.89	34.16	2.46	8.93	4.02	5.24	46.14	-10.07%	20.73%	46.06%	0.74%	1.07B
