
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	227.23B	44.16	23.10	1.16	3.27	9.28	18.21	26.49	64.05%	37.92%	29.83%	0.49%	70.82M
2	Aerospace & Defense	1544.40B	43.02	31.24	2.85	3.07	7.27	24.42	52.43	21.07%	15.12%	3.50%	0.86%	171.83M
3	Agricultural Inputs	116.39B	21.04	14.32	1.73	1.47	1.45	15.78	16.61	3.14%	12.13%	4.39%	-1.26%	24.92M
4	Airlines	164.30B	12.44	9.55	0.70	0.59	2.64	3.32	14.15	-5.10%	17.68%	6.21%	7.07%	216.50M
5	Airports & Air Services	45.01B	33.14	22.18	2.76	5.78	7.60	12.92	35.76	19.09%	12.02%	13.36%	3.80%	28.06M
6	Aluminum	13.46B	11.19	10.33	0.28	0.51	1.60	7.22	23.12	-5.07%	39.86%	4.09%	6.03%	10.25M
7	Apparel Manufacturing	62.74B	24.33	17.46	1.92	0.95	3.53	8.13	17.57	11.62%	12.64%	1.74%	3.00%	121.14M
8	Apparel Retail	278.53B	23.55	20.67	3.03	1.64	7.42	18.06	30.09	11.46%	7.76%	7.32%	1.43%	53.19M
9	Asset Management	1401.51B	31.50	18.68	2.20	3.90	3.29	12.19	22.39	5.01%	14.33%	18.48%	2.28%	146.60M
10	Auto & Truck Dealerships	149.45B	27.74	21.33	0.67	0.68	3.90	24.18	29.57	16.57%	41.40%	18.71%	1.34%	67.20M
11	Auto Manufacturers	1689.84B	34.15	26.41	3.59	1.45	2.67	6.24	86.48	21.60%	9.51%	28.14%	0.84%	413.36M
12	Auto Parts	309.59B	23.00	16.43	2.03	1.10	3.52	16.32	22.47	5.84%	11.30%	8.56%	1.09%	149.01M
13	Banks - Diversified	3217.41B	13.74	11.36	1.14	1.79	1.49	1057.66	14.69	10.22%	12.02%	12.22%	1.66%	112.68M
14	Banks - Regional	1703.76B	14.23	10.72	0.99	1.77	1.38	1580.72	11.55	7.94%	14.40%	15.40%	2.16%	356.47M
15	Beverages - Brewers	204.39B	19.77	13.68	2.26	1.43	1.72	10.81	10.01	-9.94%	8.74%	3.93%	0.23%	40.92M
16	Beverages - Non-Alcoholic	706.31B	27.32	20.25	3.78	3.16	7.15	21.57	48.87	7.59%	7.24%	8.12%	0.41%	53.89M
17	Beverages - Wineries & Distilleries	92.22B	28.63	18.91	8.16	3.12	5.57	23.98	24.70	5.38%	3.51%	5.96%	-0.16%	17.41M
18	Biotechnology	867.35B	45.32	33.49	2.48	8.68	3.85	5.10	45.20	-10.87%	18.31%	46.30%	1.65%	911.51M
19	Broadcasting	14.86B	10.88	8.97	-	0.61	1.60	5.39	4.32	30.80%	-7.75%	29.52%	4.84%	34.69M
20	Building Materials	232.82B	27.54	22.53	2.49	2.98	2.94	33.46	41.41	22.00%	11.06%	6.67%	3.23%	26.03M
21	Building Products & Equipment	376.53B	29.03	21.44	2.76	2.55	5.57	54.91	28.17	13.36%	10.53%	5.70%	2.57%	41.18M
22	Business Equipment & Supplies	1.14B	13.82	11.72	-	0.51	0.70	2.23	7.02	1.31%	-	15.50%	2.35%	1.09M
23	Capital Markets	1067.31B	22.29	18.51	1.29	1.93	3.02	4.33	5.91	13.52%	17.31%	31.36%	1.99%	456.12M
24	Chemicals	32.17B	57.53	19.71	-	0.34	0.89	3.96	15.34	17.57%	-2.46%	2.21%	1.06%	52.79M
25	Coking Coal	7.85B	69.19	13.77	2.79	1.29	1.69	7.13	23.17	-7.79%	24.81%	7.86%	5.19%	9.55M
26	Communication Equipment	545.45B	31.58	19.00	3.51	3.09	4.43	10.61	23.05	7.48%	9.00%	2.14%	1.92%	188.17M
27	Computer Hardware	458.41B	35.89	23.24	2.30	2.13	11.24	12.81	29.38	15.13%	15.59%	13.14%	2.59%	216.49M
28	Confectioners	118.47B	25.16	22.42	-	2.41	3.95	44.35	25.65	7.98%	-0.06%	7.05%	-0.02%	9.02M
29	Conglomerates	247.96B	23.39	18.43	3.07	2.03	6.39	11.18	31.39	0.83%	7.62%	-1.05%	0.91%	17.11M
30	Consulting Services	92.77B	30.26	24.14	2.65	3.11	8.69	43.05	27.18	17.97%	11.40%	6.63%	-0.77%	7.08M
31	Consumer Electronics	3578.14B	33.97	28.28	4.05	6.95	27.85	52.91	30.85	15.00%	8.39%	8.21%	1.03%	76.75M
32	Copper	148.16B	25.53	17.67	1.64	3.63	4.50	15.22	27.32	17.43%	15.54%	10.34%	1.99%	27.46M
33	Credit Services	1720.36B	27.49	20.50	1.86	5.20	6.02	11.31	17.82	10.44%	14.76%	10.45%	1.10%	131.98M
34	Department Stores	12.36B	11.45	14.70	-	0.27	1.29	5.51	12.54	29.80%	-11.88%	-0.54%	3.63%	17.72M
35	Diagnostics & Research	660.94B	33.98	22.47	3.47	4.05	3.73	26.20	27.79	10.27%	9.78%	9.90%	2.56%	51.47M
36	Discount Stores	1393.01B	42.65	35.01	4.54	1.20	9.77	46.73	49.17	9.42%	9.39%	7.12%	-0.01%	35.47M
37	Drug Manufacturers - General	2956.11B	21.69	12.75	1.13	4.19	5.74	23.96	17.82	5.18%	19.17%	9.05%	0.40%	104.71M
38	Drug Manufacturers - Specialty & Generic	295.65B	29.26	13.63	1.88	2.22	2.15	11.77	15.25	11.39%	15.56%	8.21%	1.30%	173.41M
39	Education & Training Services	55.31B	22.46	17.19	1.78	1.61	2.58	3.51	17.75	17.22%	12.62%	9.15%	2.85%	22.79M
40	Electrical Equipment & Parts	143.50B	38.47	24.89	1.64	3.45	5.70	19.86	35.04	22.69%	23.50%	10.67%	3.29%	165.36M
41	Electronic Components	386.93B	44.00	25.13	2.25	2.60	6.21	25.65	33.35	16.63%	19.58%	7.70%	2.46%	41.14M
42	Electronic Gaming & Multimedia	264.89B	44.79	21.91	2.26	7.09	8.02	9.13	29.30	-25.63%	19.80%	23.13%	1.15%	17.71M
43	Electronics & Computer Distribution	30.47B	18.07	10.44	1.45	0.24	1.32	15.04	14.75	-0.19%	12.46%	9.02%	3.28%	2.61M
44	Engineering & Construction	334.81B	21.80	27.49	1.21	1.69	5.39	20.12	27.66	24.34%	18.02%	11.05%	2.41%	27.44M
45	Entertainment	1120.26B	42.72	33.39	2.07	3.07	4.39	17.86	28.98	19.60%	20.65%	11.70%	1.12%	162.65M
