
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	237.24B	46.30	23.93	1.16	3.48	9.94	19.52	27.81	64.12%	39.83%	29.72%	-1.13%	44.21M
2	Aerospace & Defense	1541.93B	42.75	31.10	2.78	3.06	7.22	24.22	52.14	20.70%	15.37%	3.49%	-0.12%	121.38M
3	Agricultural Inputs	118.61B	21.45	14.48	1.74	1.50	1.47	16.08	16.93	3.14%	12.31%	4.37%	-0.40%	16.73M
4	Airlines	169.28B	12.82	9.79	0.70	0.61	2.72	3.42	14.58	-5.88%	18.39%	6.14%	0.39%	154.39M
5	Airports & Air Services	41.72B	30.73	20.90	2.57	5.31	7.01	11.72	32.71	20.57%	11.98%	13.25%	0.82%	43.06M
6	Aluminum	13.59B	11.30	10.44	0.28	0.52	1.62	7.29	23.35	-5.07%	40.04%	4.11%	1.95%	8.35M
7	Apparel Manufacturing	68.67B	25.85	19.31	2.07	1.04	3.86	8.79	19.23	11.48%	12.48%	1.67%	-0.88%	43.85M
8	Apparel Retail	286.07B	23.84	21.45	2.99	1.67	7.44	17.13	30.72	11.21%	7.99%	7.06%	-2.69%	134.89M
9	Asset Management	1361.95B	29.81	18.29	2.08	4.03	3.08	12.49	21.35	4.79%	14.30%	17.85%	-1.12%	150.92M
10	Auto & Truck Dealerships	159.37B	29.61	22.69	0.70	0.73	4.20	27.32	31.72	16.31%	42.18%	18.91%	-0.07%	16.09M
11	Auto Manufacturers	1745.46B	35.23	27.06	3.68	0.19	2.76	0.68	89.33	21.26%	9.57%	27.74%	2.49%	390.66M
12	Auto Parts	323.10B	24.01	17.22	2.15	1.15	3.68	17.03	23.45	6.16%	11.17%	8.58%	-0.05%	78.45M
13	Banks - Diversified	3279.20B	13.92	11.49	1.13	1.83	1.51	1077.97	17.12	10.10%	12.30%	12.24%	-1.59%	125.18M
14	Banks - Regional	1920.21B	15.96	11.16	1.10	1.92	1.53	1943.81	10.85	7.70%	14.52%	16.21%	-0.60%	379.84M
15	Beverages - Brewers	197.48B	19.10	13.40	2.16	1.39	1.66	10.44	9.67	-9.43%	8.85%	3.94%	1.57%	45.87M
16	Beverages - Non-Alcoholic	683.54B	26.44	19.52	3.48	3.08	6.98	20.95	47.57	7.89%	7.59%	8.28%	-0.51%	71.17M
17	Beverages - Wineries & Distilleries	90.34B	28.26	18.53	7.80	3.06	5.35	23.19	22.37	5.50%	3.62%	6.07%	0.86%	13.21M
18	Biotechnology	939.47B	53.53	35.81	2.65	9.42	4.23	5.50	48.45	-10.91%	20.23%	45.99%	2.35%	608.81M
