No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	234.49B	45.56	23.69	1.16	3.38	9.59	18.83	27.35	63.67%	39.25%	29.67%	-0.75%	14.31M
2	Aerospace & Defense	1551.47B	43.02	31.29	2.83	3.08	7.27	24.37	52.46	20.24%	15.19%	3.67%	-0.66%	49.90M
3	Agricultural Inputs	122.10B	22.08	14.94	1.81	1.55	1.52	16.66	17.42	3.09%	12.18%	4.38%	-0.61%	3.76M
4	Airlines	171.88B	13.02	9.97	0.71	0.62	2.77	3.48	14.80	-5.90%	18.41%	6.16%	-0.30%	39.93M
5	Airports & Air Services	41.96B	30.91	20.68	2.55	5.34	7.05	11.79	32.90	20.88%	12.14%	13.02%	-2.12%	24.46M
6	Aluminum	13.72B	11.40	10.54	0.29	0.52	1.63	7.36	23.57	-5.07%	39.90%	4.11%	0.49%	1.77M
7	Apparel Manufacturing	66.99B	25.10	18.79	2.03	1.01	3.77	8.63	18.76	11.30%	12.36%	1.68%	0.04%	11.22M
8	Apparel Retail	283.02B	23.50	20.91	2.87	1.65	7.48	17.01	29.89	11.38%	8.19%	7.34%	-1.00%	27.44M
9	Asset Management	1385.77B	31.34	18.65	2.20	3.85	3.05	12.04	21.74	4.94%	14.22%	18.04%	-0.11%	57.28M
10	Auto & Truck Dealerships	158.51B	29.42	22.59	0.69	0.72	4.18	27.15	31.55	16.24%	42.40%	18.94%	-1.22%	3.94M
11	Auto Manufacturers	1690.65B	34.12	26.20	3.58	1.45	2.68	6.24	86.52	21.49%	9.53%	27.84%	-2.34%	195.15M
12	Auto Parts	319.31B	23.73	17.00	2.14	1.14	3.64	16.85	23.18	6.15%	11.10%	8.57%	-0.64%	36.93M
13	Banks - Diversified	3312.02B	14.06	11.63	1.15	1.85	1.53	1088.76	17.29	10.05%	12.22%	12.23%	0.05%	33.77M
14	Banks - Regional	1925.24B	16.01	11.19	1.10	1.93	1.53	1948.90	10.89	7.74%	14.56%	16.24%	-0.08%	103.35M
15	Beverages - Brewers	204.25B	19.75	13.74	2.25	1.43	1.71	10.80	10.00	-9.81%	8.79%	3.93%	0.19%	16.70M
16	Beverages - Non-Alcoholic	691.53B	26.75	19.84	3.62	3.10	7.00	21.12	47.85	7.86%	7.40%	8.37%	0.74%	23.40M
17	Beverages - Wineries & Distilleries	91.88B	22.74	16.14	6.21	3.11	4.40	23.82	22.75	5.50%	3.66%	6.09%	0.36%	7.23M
18	Biotechnology	900.43B	51.30	34.36	2.54	9.04	4.05	5.28	46.47	-10.21%	20.17%	45.85%	-0.72%	179.36M
19	Broadcasting	15.37B	11.26	9.27	-	0.63	1.67	5.67	4.47	30.70%	-7.61%	28.99%	0.19%	14.44M
20	Building Materials	229.69B	27.71	22.99	2.80	2.94	2.91	27.11	40.61	22.34%	9.88%	6.62%	-0.04%	11.91M
21	Building Products & Equipment	371.72B	28.71	21.17	2.74	2.52	5.49	54.27	27.84	13.40%	10.48%	5.66%	-1.43%	9.06M
22	Business Equipment & Supplies	1.15B	13.93	11.78	-	0.52	0.71	2.25	7.07	1.30%	-	14.91%	-0.21%	210.02K
23	Capital Markets	1059.83B	22.41	18.49	1.44	1.97	2.99	4.21	5.95	12.55%	15.55%	25.71%	-0.59%	251.72M
24	Chemicals	36.76B	66.28	24.37	-	0.39	1.02	4.52	17.52	17.77%	-2.62%	2.22%	0.40%	13.07M
25	Coking Coal	7.59B	66.91	13.14	2.57	1.25	1.63	6.89	22.41	-7.85%	25.99%	7.84%	2.57%	3.98M
26	Communication Equipment	546.07B	30.10	18.00	3.55	3.07	4.42	10.82	22.73	8.89%	8.47%	3.72%	-0.65%	71.73M
27	Computer Hardware	447.40B	29.06	18.20	1.72	2.03	10.75	12.08	26.08	15.05%	16.87%	12.88%	-2.81%	109.16M
28	Confectioners	119.45B	25.37	22.61	-	2.43	3.98	44.72	25.86	8.06%	-0.18%	7.05%	0.24%	1.96M
29	Conglomerates	249.73B	23.55	18.81	3.08	2.04	6.44	11.24	31.60	0.79%	7.66%	-1.01%	-0.72%	3.56M
30	Consulting Services	94.39B	30.73	24.64	2.72	3.16	8.82	43.44	27.73	18.00%	11.30%	6.60%	0.27%	832.78K
31	Consumer Electronics	3615.57B	34.32	28.54	4.14	7.03	28.03	53.02	31.38	14.99%	8.30%	8.21%	-0.31%	21.18M
32	Copper	152.18B	25.62	18.25	1.64	3.71	4.60	15.67	27.57	17.52%	15.62%	10.38%	0.41%	6.22M
33	Credit Services	1803.94B	28.85	21.58	1.96	5.45	6.32	11.78	18.73	10.35%	14.74%	10.46%	0.57%	48.03M
34	Department Stores	13.79B	10.53	14.43	-	0.30	1.35	5.95	8.84	29.83%	-13.37%	-0.55%	-1.58%	5.09M
35	Diagnostics & Research	679.39B	34.82	23.09	3.52	4.16	3.83	26.97	28.69	10.08%	9.91%	10.01%	0.64%	16.68M
36	Discount Stores	1302.39B	37.19	32.66	3.95	1.12	9.08	41.01	46.67	9.46%	9.42%	7.14%	-0.22%	11.04M
37	Drug Manufacturers - General	3129.84B	22.96	13.50	1.18	4.44	6.07	25.37	18.87	5.85%	19.39%	9.25%	0.25%	38.47M
38	Drug Manufacturers - Specialty & Generic	308.56B	30.65	14.17	1.98	2.29	2.21	12.05	15.76	11.51%	15.46%	8.32%	0.13%	85.14M
39	Education & Training Services	56.27B	22.79	16.09	1.89	1.63	2.63	3.57	21.85	15.90%	12.05%	9.42%	-0.52%	8.67M
40	Electrical Equipment & Parts	139.84B	37.77	24.15	1.52	3.37	5.67	19.54	33.92	23.74%	24.91%	10.72%	-3.27%	43.98M
41	Electronic Components	380.29B	43.16	24.96	2.16	2.59	5.80	24.90	32.87	16.42%	20.01%	7.76%	-2.69%	14.64M
42	Electronic Gaming & Multimedia	262.62B	43.02	21.32	2.13	7.03	7.74	8.73	27.43	-24.62%	20.15%	22.75%	-1.17%	135.66M
43	Electronics & Computer Distribution	30.63B	18.13	10.45	1.45	0.24	1.32	15.26	15.17	-0.50%	12.47%	8.88%	-0.33%	391.80K
44	Engineering & Construction	328.20B	21.12	26.76	1.17	1.66	5.30	19.69	26.70	24.44%	18.00%	11.09%	-1.96%	15.62M
45	Entertainment	1129.03B	43.09	34.63	2.09	3.35	4.70	19.06	29.65	19.07%	20.63%	11.74%	-1.23%	62.96M
46	Farm & Heavy Construction Machinery	424.62B	21.55	18.90	10.84	2.12	4.84	14.27	22.10	16.20%	1.99%	4.29%	-3.32%	10.64M
47	Farm Products	80.17B	15.20	13.60	2.61	0.38	1.29	4.72	11.81	14.16%	5.82%	7.64%	0.09%	5.67M
48	Financial Conglomerates	50.47B	15.87	3.11	1.14	1.52	1.37	4.41	32.26	4.92%	13.92%	14.68%	-0.82%	951.18K
49	Financial Data & Stock Exchanges	704.16B	35.39	27.00	3.81	9.26	5.34	30.42	27.21	8.92%	9.29%	17.32%	-0.22%	5.38M
50	Food Distribution	79.88B	27.78	16.29	1.79	0.32	4.83	41.58	21.15	35.01%	15.49%	11.03%	0.11%	1.57M
